
tanB/mH		     R(D)		     R(D*)
0.515		0.260 +- 0.060 		0.340 +- 0.031
0.516		0.260 +- 0.059 		0.340 +- 0.031
0.517		0.260 +- 0.059 		0.340 +- 0.031
0.518		0.259 +- 0.059 		0.340 +- 0.031
0.519		0.259 +- 0.059 		0.340 +- 0.031
0.520		0.259 +- 0.059 		0.340 +- 0.031
0.521		0.259 +- 0.059 		0.340 +- 0.031
0.522		0.259 +- 0.059 		0.340 +- 0.031
0.523		0.258 +- 0.059 		0.340 +- 0.031
0.524		0.258 +- 0.059 		0.340 +- 0.031
0.525		0.258 +- 0.059 		0.340 +- 0.031
0.526		0.258 +- 0.059 		0.340 +- 0.031
0.527		0.258 +- 0.059 		0.340 +- 0.031
0.528		0.257 +- 0.059 		0.340 +- 0.031
0.529		0.257 +- 0.059 		0.340 +- 0.031
0.530		0.257 +- 0.059 		0.340 +- 0.031
0.531		0.257 +- 0.059 		0.340 +- 0.031
0.532		0.257 +- 0.059 		0.339 +- 0.031
0.533		0.257 +- 0.059 		0.339 +- 0.031
0.534		0.257 +- 0.059 		0.339 +- 0.031
0.535		0.256 +- 0.059 		0.339 +- 0.031
0.536		0.256 +- 0.059 		0.339 +- 0.031
0.537		0.256 +- 0.059 		0.339 +- 0.031
0.538		0.256 +- 0.059 		0.339 +- 0.031
0.539		0.256 +- 0.059 		0.339 +- 0.031
0.540		0.256 +- 0.059 		0.339 +- 0.031
0.541		0.256 +- 0.059 		0.339 +- 0.031
0.542		0.256 +- 0.059 		0.339 +- 0.031
0.543		0.256 +- 0.059 		0.339 +- 0.031
0.544		0.255 +- 0.059 		0.339 +- 0.031
0.545		0.255 +- 0.059 		0.339 +- 0.031
0.546		0.255 +- 0.059 		0.339 +- 0.031
0.547		0.255 +- 0.059 		0.339 +- 0.031
0.548		0.255 +- 0.059 		0.339 +- 0.031
0.549		0.255 +- 0.059 		0.339 +- 0.031
0.550		0.255 +- 0.059 		0.339 +- 0.031
0.551		0.255 +- 0.059 		0.338 +- 0.031
0.552		0.255 +- 0.059 		0.338 +- 0.031
0.553		0.255 +- 0.059 		0.338 +- 0.031
0.554		0.255 +- 0.059 		0.338 +- 0.031
0.555		0.255 +- 0.058 		0.338 +- 0.031
0.556		0.254 +- 0.058 		0.338 +- 0.031
0.557		0.254 +- 0.058 		0.338 +- 0.031
0.558		0.254 +- 0.058 		0.338 +- 0.031
0.559		0.254 +- 0.058 		0.338 +- 0.031
0.560		0.254 +- 0.058 		0.338 +- 0.031
0.561		0.254 +- 0.058 		0.338 +- 0.031
0.562		0.254 +- 0.058 		0.338 +- 0.031
0.563		0.254 +- 0.058 		0.338 +- 0.031
0.564		0.254 +- 0.058 		0.338 +- 0.031
0.565		0.254 +- 0.058 		0.338 +- 0.031
0.566		0.254 +- 0.058 		0.337 +- 0.031
0.567		0.254 +- 0.058 		0.337 +- 0.031
0.568		0.254 +- 0.058 		0.337 +- 0.031
0.569		0.254 +- 0.058 		0.337 +- 0.031
0.570		0.254 +- 0.058 		0.337 +- 0.031
0.571		0.254 +- 0.058 		0.337 +- 0.031
0.572		0.254 +- 0.058 		0.337 +- 0.031
0.573		0.254 +- 0.058 		0.337 +- 0.031
0.574		0.254 +- 0.058 		0.337 +- 0.031
0.575		0.254 +- 0.058 		0.337 +- 0.031
0.576		0.253 +- 0.058 		0.337 +- 0.031
0.577		0.253 +- 0.058 		0.337 +- 0.031
0.578		0.253 +- 0.058 		0.337 +- 0.031
0.579		0.253 +- 0.058 		0.337 +- 0.031
0.580		0.253 +- 0.058 		0.337 +- 0.031
0.581		0.253 +- 0.058 		0.336 +- 0.031
0.582		0.253 +- 0.058 		0.336 +- 0.031
0.583		0.253 +- 0.058 		0.336 +- 0.031
0.584		0.253 +- 0.058 		0.336 +- 0.031
0.585		0.253 +- 0.058 		0.336 +- 0.031
0.586		0.253 +- 0.058 		0.336 +- 0.031
0.587		0.253 +- 0.058 		0.336 +- 0.031
0.588		0.253 +- 0.058 		0.336 +- 0.031
0.589		0.253 +- 0.058 		0.336 +- 0.031
0.590		0.253 +- 0.058 		0.336 +- 0.031
0.591		0.253 +- 0.058 		0.336 +- 0.031
0.592		0.253 +- 0.058 		0.336 +- 0.031
0.593		0.253 +- 0.058 		0.336 +- 0.031
0.594		0.253 +- 0.058 		0.336 +- 0.031
0.595		0.253 +- 0.058 		0.335 +- 0.031
0.596		0.253 +- 0.058 		0.335 +- 0.031
0.597		0.253 +- 0.058 		0.335 +- 0.031
0.598		0.253 +- 0.058 		0.335 +- 0.031
0.599		0.253 +- 0.058 		0.335 +- 0.031
0.600		0.253 +- 0.058 		0.335 +- 0.031
0.601		0.253 +- 0.058 		0.335 +- 0.031
0.602		0.253 +- 0.058 		0.335 +- 0.031
0.603		0.253 +- 0.058 		0.335 +- 0.031
0.604		0.253 +- 0.058 		0.335 +- 0.031
0.605		0.253 +- 0.058 		0.335 +- 0.031
0.606		0.253 +- 0.058 		0.335 +- 0.031
0.607		0.253 +- 0.058 		0.335 +- 0.031
0.608		0.253 +- 0.058 		0.335 +- 0.031
0.609		0.253 +- 0.058 		0.334 +- 0.031
0.610		0.253 +- 0.058 		0.334 +- 0.031
0.611		0.253 +- 0.058 		0.334 +- 0.031
0.612		0.253 +- 0.058 		0.334 +- 0.031
0.613		0.253 +- 0.058 		0.334 +- 0.031
0.614		0.253 +- 0.058 		0.334 +- 0.031
0.615		0.253 +- 0.058 		0.334 +- 0.031
0.616		0.253 +- 0.058 		0.334 +- 0.031
0.617		0.253 +- 0.058 		0.334 +- 0.031
0.618		0.253 +- 0.058 		0.334 +- 0.031
0.619		0.253 +- 0.058 		0.334 +- 0.031
0.620		0.253 +- 0.058 		0.334 +- 0.031
0.621		0.253 +- 0.058 		0.334 +- 0.031
0.622		0.253 +- 0.058 		0.333 +- 0.031
0.623		0.253 +- 0.058 		0.333 +- 0.031
0.624		0.253 +- 0.058 		0.333 +- 0.031
0.625		0.253 +- 0.058 		0.333 +- 0.030
0.626		0.253 +- 0.058 		0.333 +- 0.030
0.627		0.253 +- 0.058 		0.333 +- 0.030
0.628		0.253 +- 0.058 		0.333 +- 0.030
0.629		0.253 +- 0.058 		0.333 +- 0.030
0.630		0.253 +- 0.058 		0.333 +- 0.030
0.631		0.253 +- 0.058 		0.333 +- 0.030
0.632		0.253 +- 0.058 		0.333 +- 0.030
0.633		0.253 +- 0.058 		0.333 +- 0.030
0.634		0.253 +- 0.058 		0.333 +- 0.030
0.635		0.253 +- 0.058 		0.333 +- 0.030
0.636		0.253 +- 0.058 		0.332 +- 0.030
0.637		0.253 +- 0.058 		0.332 +- 0.030
0.638		0.253 +- 0.058 		0.332 +- 0.030
0.639		0.253 +- 0.058 		0.332 +- 0.030
0.640		0.253 +- 0.058 		0.332 +- 0.030
0.641		0.253 +- 0.058 		0.332 +- 0.030
0.642		0.253 +- 0.058 		0.332 +- 0.030
0.643		0.253 +- 0.058 		0.332 +- 0.030
0.644		0.253 +- 0.058 		0.332 +- 0.030
0.645		0.253 +- 0.058 		0.332 +- 0.030
0.646		0.253 +- 0.058 		0.332 +- 0.030
0.647		0.253 +- 0.058 		0.332 +- 0.030
0.648		0.253 +- 0.058 		0.332 +- 0.030
0.649		0.253 +- 0.058 		0.332 +- 0.030
0.650		0.253 +- 0.058 		0.332 +- 0.030
0.651		0.253 +- 0.058 		0.331 +- 0.030
0.652		0.253 +- 0.058 		0.331 +- 0.030
0.653		0.253 +- 0.058 		0.331 +- 0.030
0.654		0.253 +- 0.058 		0.331 +- 0.030
0.655		0.253 +- 0.058 		0.331 +- 0.030
0.656		0.253 +- 0.058 		0.331 +- 0.030
0.657		0.253 +- 0.058 		0.331 +- 0.030
0.658		0.253 +- 0.058 		0.331 +- 0.030
0.659		0.253 +- 0.058 		0.331 +- 0.030
0.660		0.253 +- 0.058 		0.331 +- 0.030
0.661		0.253 +- 0.058 		0.331 +- 0.030
0.662		0.253 +- 0.058 		0.331 +- 0.030
0.663		0.253 +- 0.058 		0.331 +- 0.030
0.664		0.253 +- 0.058 		0.331 +- 0.030
0.665		0.253 +- 0.058 		0.330 +- 0.030
0.666		0.254 +- 0.058 		0.330 +- 0.030
0.667		0.254 +- 0.058 		0.330 +- 0.030
0.668		0.254 +- 0.058 		0.330 +- 0.030
0.669		0.254 +- 0.058 		0.330 +- 0.030
0.670		0.254 +- 0.058 		0.330 +- 0.030
0.671		0.254 +- 0.058 		0.330 +- 0.030
0.672		0.254 +- 0.058 		0.330 +- 0.030
0.673		0.254 +- 0.058 		0.330 +- 0.030
0.674		0.254 +- 0.058 		0.330 +- 0.030
0.675		0.254 +- 0.058 		0.330 +- 0.030
0.676		0.254 +- 0.058 		0.330 +- 0.030
0.677		0.254 +- 0.058 		0.330 +- 0.030
0.678		0.254 +- 0.058 		0.330 +- 0.030
0.679		0.254 +- 0.058 		0.330 +- 0.030
0.680		0.254 +- 0.058 		0.330 +- 0.030
0.681		0.254 +- 0.058 		0.329 +- 0.030
0.682		0.254 +- 0.058 		0.329 +- 0.030
0.683		0.254 +- 0.058 		0.329 +- 0.030
0.684		0.254 +- 0.058 		0.329 +- 0.030
0.685		0.254 +- 0.058 		0.329 +- 0.030
0.686		0.254 +- 0.058 		0.329 +- 0.030
0.687		0.254 +- 0.058 		0.329 +- 0.030
0.688		0.254 +- 0.058 		0.329 +- 0.030
0.689		0.254 +- 0.058 		0.329 +- 0.030
0.690		0.254 +- 0.058 		0.329 +- 0.030
0.691		0.254 +- 0.058 		0.329 +- 0.030
0.692		0.254 +- 0.058 		0.329 +- 0.030
0.693		0.254 +- 0.058 		0.329 +- 0.030
0.694		0.254 +- 0.058 		0.329 +- 0.030
0.695		0.254 +- 0.058 		0.329 +- 0.030
0.696		0.254 +- 0.058 		0.329 +- 0.030
0.697		0.254 +- 0.058 		0.328 +- 0.030
0.698		0.254 +- 0.058 		0.328 +- 0.030
0.699		0.254 +- 0.058 		0.328 +- 0.030
0.700		0.254 +- 0.058 		0.328 +- 0.030
0.701		0.254 +- 0.058 		0.328 +- 0.030
0.702		0.254 +- 0.058 		0.328 +- 0.030
0.703		0.254 +- 0.058 		0.328 +- 0.030
0.704		0.254 +- 0.058 		0.328 +- 0.030
0.705		0.254 +- 0.058 		0.328 +- 0.030
0.706		0.254 +- 0.058 		0.328 +- 0.030
0.707		0.254 +- 0.058 		0.328 +- 0.030
0.708		0.254 +- 0.058 		0.328 +- 0.030
0.709		0.254 +- 0.058 		0.328 +- 0.030
0.710		0.254 +- 0.058 		0.328 +- 0.030
0.711		0.254 +- 0.058 		0.328 +- 0.030
0.712		0.254 +- 0.058 		0.328 +- 0.030
0.713		0.254 +- 0.058 		0.328 +- 0.030
0.714		0.254 +- 0.058 		0.327 +- 0.030
0.715		0.254 +- 0.058 		0.327 +- 0.030
0.716		0.254 +- 0.058 		0.327 +- 0.030
0.717		0.254 +- 0.058 		0.327 +- 0.030
0.718		0.254 +- 0.058 		0.327 +- 0.030
0.719		0.254 +- 0.058 		0.327 +- 0.030
0.720		0.254 +- 0.058 		0.327 +- 0.030
0.721		0.254 +- 0.058 		0.327 +- 0.030
0.722		0.254 +- 0.058 		0.327 +- 0.030
0.723		0.254 +- 0.058 		0.327 +- 0.030
0.724		0.254 +- 0.058 		0.327 +- 0.030
0.725		0.254 +- 0.058 		0.327 +- 0.030
0.726		0.254 +- 0.058 		0.327 +- 0.030
0.727		0.254 +- 0.058 		0.327 +- 0.030
0.728		0.254 +- 0.058 		0.327 +- 0.030
0.729		0.254 +- 0.058 		0.327 +- 0.030
0.730		0.254 +- 0.058 		0.326 +- 0.030
0.731		0.254 +- 0.058 		0.326 +- 0.030
0.732		0.254 +- 0.058 		0.326 +- 0.030
0.733		0.254 +- 0.058 		0.326 +- 0.030
0.734		0.254 +- 0.058 		0.326 +- 0.030
0.735		0.254 +- 0.058 		0.326 +- 0.030
0.736		0.254 +- 0.058 		0.326 +- 0.030
0.737		0.254 +- 0.058 		0.326 +- 0.030
0.738		0.254 +- 0.058 		0.326 +- 0.030
0.739		0.254 +- 0.058 		0.326 +- 0.030
0.740		0.254 +- 0.058 		0.326 +- 0.030
0.741		0.254 +- 0.058 		0.326 +- 0.030
0.742		0.254 +- 0.058 		0.326 +- 0.030
0.743		0.254 +- 0.058 		0.326 +- 0.030
0.744		0.254 +- 0.058 		0.326 +- 0.030
0.745		0.254 +- 0.058 		0.326 +- 0.030
0.746		0.254 +- 0.058 		0.326 +- 0.030
0.747		0.254 +- 0.058 		0.325 +- 0.030
0.748		0.254 +- 0.058 		0.325 +- 0.030
0.749		0.254 +- 0.058 		0.325 +- 0.030
0.750		0.254 +- 0.058 		0.325 +- 0.030
0.751		0.254 +- 0.058 		0.325 +- 0.030
0.752		0.254 +- 0.058 		0.325 +- 0.030
0.753		0.254 +- 0.058 		0.325 +- 0.030
0.754		0.254 +- 0.058 		0.325 +- 0.030
0.755		0.254 +- 0.058 		0.325 +- 0.030
0.756		0.254 +- 0.058 		0.325 +- 0.030
0.757		0.254 +- 0.058 		0.325 +- 0.030
0.758		0.254 +- 0.058 		0.325 +- 0.030
0.759		0.254 +- 0.058 		0.325 +- 0.030
0.760		0.254 +- 0.058 		0.325 +- 0.030
0.761		0.254 +- 0.058 		0.325 +- 0.030
0.762		0.254 +- 0.058 		0.325 +- 0.030
0.763		0.254 +- 0.058 		0.325 +- 0.030
0.764		0.254 +- 0.058 		0.325 +- 0.030
0.765		0.254 +- 0.058 		0.324 +- 0.030
0.766		0.254 +- 0.058 		0.324 +- 0.030
0.767		0.254 +- 0.058 		0.324 +- 0.030
0.768		0.254 +- 0.058 		0.324 +- 0.030
0.769		0.254 +- 0.058 		0.324 +- 0.030
0.770		0.254 +- 0.058 		0.324 +- 0.030
0.771		0.254 +- 0.058 		0.324 +- 0.030
0.772		0.254 +- 0.058 		0.324 +- 0.030
0.773		0.254 +- 0.058 		0.324 +- 0.030
0.774		0.254 +- 0.058 		0.324 +- 0.030
0.775		0.254 +- 0.058 		0.324 +- 0.030
0.776		0.254 +- 0.058 		0.324 +- 0.030
0.777		0.254 +- 0.058 		0.324 +- 0.030
0.778		0.254 +- 0.058 		0.324 +- 0.030
0.779		0.254 +- 0.058 		0.324 +- 0.030
0.780		0.254 +- 0.058 		0.324 +- 0.030
0.781		0.254 +- 0.058 		0.324 +- 0.030
0.782		0.254 +- 0.058 		0.324 +- 0.030
0.783		0.254 +- 0.058 		0.323 +- 0.030
0.784		0.254 +- 0.058 		0.323 +- 0.030
0.785		0.254 +- 0.058 		0.323 +- 0.030
0.786		0.254 +- 0.058 		0.323 +- 0.030
0.787		0.254 +- 0.058 		0.323 +- 0.030
0.788		0.254 +- 0.058 		0.323 +- 0.030
0.789		0.254 +- 0.058 		0.323 +- 0.030
0.790		0.254 +- 0.058 		0.323 +- 0.030
0.791		0.254 +- 0.058 		0.323 +- 0.030
0.792		0.254 +- 0.058 		0.323 +- 0.030
0.793		0.254 +- 0.058 		0.323 +- 0.030
0.794		0.254 +- 0.058 		0.323 +- 0.030
0.795		0.254 +- 0.058 		0.323 +- 0.030
0.796		0.254 +- 0.058 		0.323 +- 0.030
0.797		0.254 +- 0.058 		0.323 +- 0.030
0.798		0.254 +- 0.058 		0.323 +- 0.030
0.799		0.254 +- 0.058 		0.323 +- 0.030
0.800		0.254 +- 0.058 		0.323 +- 0.030
0.801		0.254 +- 0.058 		0.322 +- 0.030
0.802		0.254 +- 0.058 		0.322 +- 0.030
0.803		0.254 +- 0.058 		0.322 +- 0.030
0.804		0.254 +- 0.058 		0.322 +- 0.030
0.805		0.254 +- 0.058 		0.322 +- 0.030
0.806		0.254 +- 0.058 		0.322 +- 0.030
0.807		0.254 +- 0.058 		0.322 +- 0.030
0.808		0.254 +- 0.058 		0.322 +- 0.030
0.809		0.254 +- 0.058 		0.322 +- 0.030
0.810		0.254 +- 0.058 		0.322 +- 0.030
0.811		0.254 +- 0.058 		0.322 +- 0.030
0.812		0.254 +- 0.058 		0.322 +- 0.030
0.813		0.254 +- 0.058 		0.322 +- 0.030
0.814		0.254 +- 0.058 		0.322 +- 0.030
0.815		0.254 +- 0.058 		0.322 +- 0.030
0.816		0.254 +- 0.058 		0.322 +- 0.030
0.817		0.254 +- 0.058 		0.322 +- 0.030
0.818		0.254 +- 0.058 		0.321 +- 0.030
0.819		0.254 +- 0.058 		0.321 +- 0.030
0.820		0.254 +- 0.058 		0.321 +- 0.030
0.821		0.254 +- 0.058 		0.321 +- 0.030
0.822		0.254 +- 0.058 		0.321 +- 0.030
0.823		0.254 +- 0.058 		0.321 +- 0.030
0.824		0.254 +- 0.058 		0.321 +- 0.030
0.825		0.254 +- 0.058 		0.321 +- 0.030
0.826		0.254 +- 0.058 		0.321 +- 0.030
0.827		0.254 +- 0.058 		0.321 +- 0.030
0.828		0.254 +- 0.058 		0.321 +- 0.030
0.829		0.254 +- 0.058 		0.321 +- 0.030
0.830		0.254 +- 0.058 		0.321 +- 0.030
0.831		0.254 +- 0.058 		0.321 +- 0.030
0.832		0.254 +- 0.058 		0.321 +- 0.030
0.833		0.254 +- 0.058 		0.321 +- 0.030
0.834		0.254 +- 0.058 		0.321 +- 0.030
0.835		0.254 +- 0.058 		0.320 +- 0.030
0.836		0.254 +- 0.058 		0.320 +- 0.030
0.837		0.254 +- 0.058 		0.320 +- 0.030
0.838		0.254 +- 0.058 		0.320 +- 0.030
0.839		0.254 +- 0.058 		0.320 +- 0.030
0.840		0.254 +- 0.058 		0.320 +- 0.030
0.841		0.254 +- 0.058 		0.320 +- 0.030
0.842		0.254 +- 0.058 		0.320 +- 0.030
0.843		0.254 +- 0.058 		0.320 +- 0.030
0.844		0.254 +- 0.058 		0.320 +- 0.030
0.845		0.254 +- 0.058 		0.320 +- 0.030
0.846		0.254 +- 0.058 		0.320 +- 0.030
0.847		0.254 +- 0.058 		0.320 +- 0.030
0.848		0.254 +- 0.058 		0.320 +- 0.030
0.849		0.254 +- 0.058 		0.320 +- 0.030
0.850		0.254 +- 0.058 		0.320 +- 0.030
0.851		0.254 +- 0.058 		0.320 +- 0.030
0.852		0.254 +- 0.058 		0.319 +- 0.030
0.853		0.254 +- 0.058 		0.319 +- 0.030
0.854		0.254 +- 0.058 		0.319 +- 0.030
0.855		0.254 +- 0.058 		0.319 +- 0.030
0.856		0.254 +- 0.058 		0.319 +- 0.030
0.857		0.254 +- 0.058 		0.319 +- 0.030
0.858		0.254 +- 0.058 		0.319 +- 0.030
0.859		0.254 +- 0.058 		0.319 +- 0.030
0.860		0.254 +- 0.058 		0.319 +- 0.030
0.861		0.254 +- 0.058 		0.319 +- 0.030
0.862		0.254 +- 0.058 		0.319 +- 0.030
0.863		0.255 +- 0.058 		0.319 +- 0.030
0.864		0.255 +- 0.058 		0.319 +- 0.030
0.865		0.255 +- 0.058 		0.319 +- 0.030
0.866		0.255 +- 0.058 		0.319 +- 0.030
0.867		0.255 +- 0.058 		0.319 +- 0.030
0.868		0.255 +- 0.058 		0.319 +- 0.030
0.869		0.255 +- 0.058 		0.318 +- 0.030
0.870		0.255 +- 0.058 		0.318 +- 0.030
0.871		0.255 +- 0.058 		0.318 +- 0.030
0.872		0.255 +- 0.058 		0.318 +- 0.030
0.873		0.255 +- 0.058 		0.318 +- 0.030
0.874		0.255 +- 0.058 		0.318 +- 0.030
0.875		0.255 +- 0.058 		0.318 +- 0.030
0.876		0.255 +- 0.058 		0.318 +- 0.030
0.877		0.255 +- 0.058 		0.318 +- 0.030
0.878		0.255 +- 0.058 		0.318 +- 0.030
0.879		0.255 +- 0.058 		0.318 +- 0.030
0.880		0.255 +- 0.058 		0.318 +- 0.030
0.881		0.255 +- 0.058 		0.318 +- 0.030
0.882		0.255 +- 0.058 		0.318 +- 0.030
0.883		0.255 +- 0.058 		0.318 +- 0.030
0.884		0.255 +- 0.058 		0.318 +- 0.030
0.885		0.255 +- 0.058 		0.318 +- 0.030
0.886		0.255 +- 0.058 		0.317 +- 0.030
0.887		0.255 +- 0.058 		0.317 +- 0.030
0.888		0.255 +- 0.058 		0.317 +- 0.030
0.889		0.255 +- 0.058 		0.317 +- 0.030
0.890		0.255 +- 0.058 		0.317 +- 0.030
0.891		0.255 +- 0.058 		0.317 +- 0.030
0.892		0.255 +- 0.058 		0.317 +- 0.030
0.893		0.255 +- 0.058 		0.317 +- 0.030
0.894		0.255 +- 0.058 		0.317 +- 0.030
0.895		0.255 +- 0.058 		0.317 +- 0.030
0.896		0.255 +- 0.058 		0.317 +- 0.030
0.897		0.255 +- 0.058 		0.317 +- 0.030
0.898		0.255 +- 0.058 		0.317 +- 0.030
0.899		0.255 +- 0.058 		0.317 +- 0.030
0.900		0.255 +- 0.058 		0.317 +- 0.030
0.901		0.255 +- 0.058 		0.317 +- 0.030
0.902		0.255 +- 0.058 		0.317 +- 0.030
0.903		0.255 +- 0.058 		0.317 +- 0.030
0.904		0.255 +- 0.058 		0.316 +- 0.030
0.905		0.255 +- 0.058 		0.316 +- 0.029
0.906		0.255 +- 0.058 		0.316 +- 0.029
0.907		0.255 +- 0.058 		0.316 +- 0.029
0.908		0.255 +- 0.058 		0.316 +- 0.029
0.909		0.255 +- 0.058 		0.316 +- 0.029
0.910		0.256 +- 0.058 		0.316 +- 0.029
0.911		0.256 +- 0.058 		0.316 +- 0.029
0.912		0.256 +- 0.058 		0.316 +- 0.029
0.913		0.256 +- 0.058 		0.316 +- 0.029
0.914		0.256 +- 0.058 		0.316 +- 0.029
0.915		0.256 +- 0.058 		0.316 +- 0.029
0.916		0.256 +- 0.058 		0.316 +- 0.029
0.917		0.256 +- 0.058 		0.316 +- 0.029
0.918		0.256 +- 0.058 		0.316 +- 0.029
0.919		0.256 +- 0.058 		0.316 +- 0.029
0.920		0.256 +- 0.058 		0.316 +- 0.029
0.921		0.256 +- 0.058 		0.316 +- 0.029
0.922		0.256 +- 0.058 		0.316 +- 0.029
0.923		0.256 +- 0.058 		0.316 +- 0.029
0.924		0.256 +- 0.058 		0.315 +- 0.029
0.925		0.256 +- 0.058 		0.315 +- 0.029
0.926		0.256 +- 0.058 		0.315 +- 0.029
0.927		0.256 +- 0.058 		0.315 +- 0.029
0.928		0.256 +- 0.058 		0.315 +- 0.029
0.929		0.256 +- 0.058 		0.315 +- 0.029
0.930		0.256 +- 0.058 		0.315 +- 0.029
0.931		0.256 +- 0.058 		0.315 +- 0.029
0.932		0.256 +- 0.058 		0.315 +- 0.029
0.933		0.256 +- 0.058 		0.315 +- 0.029
0.934		0.256 +- 0.058 		0.315 +- 0.029
0.935		0.256 +- 0.058 		0.315 +- 0.029
0.936		0.256 +- 0.058 		0.315 +- 0.029
0.937		0.256 +- 0.058 		0.315 +- 0.029
0.938		0.256 +- 0.058 		0.315 +- 0.029
0.939		0.256 +- 0.058 		0.315 +- 0.029
0.940		0.256 +- 0.058 		0.315 +- 0.029
0.941		0.256 +- 0.058 		0.314 +- 0.029
0.942		0.256 +- 0.058 		0.314 +- 0.029
0.943		0.256 +- 0.058 		0.314 +- 0.029
0.944		0.256 +- 0.058 		0.314 +- 0.029
0.945		0.256 +- 0.058 		0.314 +- 0.029
0.946		0.256 +- 0.058 		0.314 +- 0.029
0.947		0.256 +- 0.058 		0.314 +- 0.029
0.948		0.257 +- 0.058 		0.314 +- 0.029
0.949		0.257 +- 0.058 		0.314 +- 0.029
0.950		0.257 +- 0.058 		0.314 +- 0.029
0.951		0.257 +- 0.058 		0.314 +- 0.029
0.952		0.257 +- 0.058 		0.314 +- 0.029
0.953		0.257 +- 0.058 		0.314 +- 0.029
0.954		0.257 +- 0.058 		0.314 +- 0.029
0.955		0.257 +- 0.058 		0.314 +- 0.029
0.956		0.257 +- 0.058 		0.313 +- 0.029
0.957		0.257 +- 0.058 		0.313 +- 0.029
0.958		0.257 +- 0.058 		0.313 +- 0.029
0.959		0.257 +- 0.058 		0.313 +- 0.029
0.960		0.257 +- 0.058 		0.313 +- 0.029
0.961		0.257 +- 0.058 		0.313 +- 0.029
0.962		0.257 +- 0.058 		0.313 +- 0.029
0.963		0.257 +- 0.058 		0.313 +- 0.029
0.964		0.257 +- 0.058 		0.313 +- 0.029
0.965		0.257 +- 0.058 		0.313 +- 0.029
0.966		0.257 +- 0.058 		0.313 +- 0.029
0.967		0.257 +- 0.058 		0.313 +- 0.029
0.968		0.257 +- 0.058 		0.313 +- 0.029
0.969		0.257 +- 0.058 		0.313 +- 0.029
0.970		0.258 +- 0.058 		0.312 +- 0.029
0.971		0.258 +- 0.058 		0.312 +- 0.029
0.972		0.258 +- 0.058 		0.312 +- 0.029
0.973		0.258 +- 0.058 		0.312 +- 0.029
0.974		0.258 +- 0.058 		0.312 +- 0.029
0.975		0.258 +- 0.058 		0.312 +- 0.029
0.976		0.258 +- 0.058 		0.312 +- 0.029
0.977		0.258 +- 0.058 		0.312 +- 0.029
0.978		0.258 +- 0.058 		0.312 +- 0.029
0.979		0.258 +- 0.058 		0.312 +- 0.029
0.980		0.258 +- 0.058 		0.312 +- 0.029
0.981		0.258 +- 0.058 		0.312 +- 0.029
0.982		0.258 +- 0.058 		0.312 +- 0.029
0.983		0.258 +- 0.058 		0.312 +- 0.029
0.984		0.258 +- 0.058 		0.312 +- 0.029
0.985		0.258 +- 0.058 		0.312 +- 0.029
0.986		0.258 +- 0.058 		0.312 +- 0.029
0.987		0.258 +- 0.058 		0.311 +- 0.029
0.988		0.258 +- 0.058 		0.311 +- 0.029
0.989		0.258 +- 0.058 		0.311 +- 0.029
0.990		0.258 +- 0.058 		0.311 +- 0.029
0.991		0.258 +- 0.058 		0.311 +- 0.029
0.992		0.258 +- 0.058 		0.311 +- 0.029
0.993		0.258 +- 0.058 		0.311 +- 0.029
0.994		0.258 +- 0.058 		0.311 +- 0.029
0.995		0.258 +- 0.058 		0.311 +- 0.029
0.996		0.258 +- 0.058 		0.311 +- 0.029
0.997		0.258 +- 0.058 		0.311 +- 0.029
0.998		0.258 +- 0.058 		0.311 +- 0.029
0.999		0.258 +- 0.058 		0.311 +- 0.029
1.000		0.258 +- 0.058 		0.311 +- 0.029
