
tanB/mH		     R(D)		     R(D*)
0.117		0.449 +- 0.072 		0.333 +- 0.030
0.118		0.449 +- 0.072 		0.333 +- 0.030
0.119		0.449 +- 0.072 		0.333 +- 0.030
0.120		0.450 +- 0.072 		0.333 +- 0.030
0.121		0.450 +- 0.072 		0.333 +- 0.030
0.122		0.450 +- 0.072 		0.333 +- 0.030
0.123		0.450 +- 0.072 		0.333 +- 0.030
0.124		0.450 +- 0.072 		0.333 +- 0.030
0.125		0.450 +- 0.072 		0.333 +- 0.030
0.126		0.450 +- 0.072 		0.333 +- 0.030
0.127		0.451 +- 0.072 		0.333 +- 0.030
0.128		0.451 +- 0.072 		0.333 +- 0.030
0.129		0.451 +- 0.072 		0.333 +- 0.030
0.130		0.451 +- 0.072 		0.333 +- 0.030
0.131		0.451 +- 0.072 		0.333 +- 0.030
0.132		0.451 +- 0.072 		0.333 +- 0.030
0.133		0.452 +- 0.072 		0.333 +- 0.030
0.134		0.452 +- 0.072 		0.333 +- 0.030
0.135		0.452 +- 0.072 		0.333 +- 0.030
0.136		0.452 +- 0.072 		0.333 +- 0.030
0.137		0.452 +- 0.072 		0.333 +- 0.030
0.138		0.452 +- 0.072 		0.333 +- 0.030
0.139		0.453 +- 0.072 		0.333 +- 0.030
0.140		0.453 +- 0.072 		0.333 +- 0.030
0.141		0.453 +- 0.072 		0.333 +- 0.030
0.142		0.453 +- 0.072 		0.333 +- 0.030
0.143		0.453 +- 0.072 		0.333 +- 0.030
0.144		0.453 +- 0.072 		0.333 +- 0.030
0.145		0.453 +- 0.072 		0.333 +- 0.030
0.146		0.454 +- 0.072 		0.333 +- 0.030
0.147		0.454 +- 0.072 		0.333 +- 0.030
0.148		0.454 +- 0.072 		0.333 +- 0.030
0.149		0.454 +- 0.072 		0.333 +- 0.030
0.150		0.454 +- 0.072 		0.334 +- 0.030
0.151		0.454 +- 0.072 		0.334 +- 0.030
0.152		0.455 +- 0.072 		0.334 +- 0.030
0.153		0.455 +- 0.072 		0.334 +- 0.030
0.154		0.455 +- 0.072 		0.334 +- 0.030
0.155		0.455 +- 0.072 		0.334 +- 0.030
0.156		0.455 +- 0.072 		0.334 +- 0.030
0.157		0.455 +- 0.072 		0.334 +- 0.030
0.158		0.456 +- 0.072 		0.334 +- 0.030
0.159		0.456 +- 0.072 		0.334 +- 0.030
0.160		0.456 +- 0.073 		0.334 +- 0.030
0.161		0.456 +- 0.073 		0.334 +- 0.030
0.162		0.456 +- 0.073 		0.334 +- 0.030
0.163		0.456 +- 0.073 		0.334 +- 0.030
0.164		0.457 +- 0.073 		0.334 +- 0.030
0.165		0.457 +- 0.073 		0.334 +- 0.030
0.166		0.457 +- 0.073 		0.334 +- 0.030
0.167		0.457 +- 0.073 		0.334 +- 0.030
0.168		0.457 +- 0.073 		0.334 +- 0.030
0.169		0.457 +- 0.073 		0.334 +- 0.030
0.170		0.458 +- 0.073 		0.334 +- 0.030
0.171		0.458 +- 0.073 		0.334 +- 0.030
0.172		0.458 +- 0.073 		0.334 +- 0.030
0.173		0.458 +- 0.073 		0.334 +- 0.030
0.174		0.458 +- 0.073 		0.334 +- 0.030
0.175		0.458 +- 0.073 		0.334 +- 0.030
0.176		0.459 +- 0.073 		0.334 +- 0.030
0.177		0.459 +- 0.073 		0.334 +- 0.030
0.178		0.459 +- 0.073 		0.335 +- 0.030
0.179		0.459 +- 0.073 		0.335 +- 0.030
0.180		0.459 +- 0.073 		0.335 +- 0.030
0.181		0.459 +- 0.073 		0.335 +- 0.030
0.182		0.460 +- 0.073 		0.335 +- 0.030
0.183		0.460 +- 0.073 		0.335 +- 0.030
0.184		0.460 +- 0.073 		0.335 +- 0.030
0.185		0.460 +- 0.073 		0.335 +- 0.030
0.186		0.460 +- 0.073 		0.335 +- 0.030
0.187		0.460 +- 0.073 		0.335 +- 0.030
0.188		0.460 +- 0.073 		0.335 +- 0.030
0.189		0.461 +- 0.073 		0.335 +- 0.030
0.190		0.461 +- 0.073 		0.335 +- 0.030
0.191		0.461 +- 0.073 		0.335 +- 0.030
0.192		0.461 +- 0.073 		0.335 +- 0.030
0.193		0.461 +- 0.073 		0.335 +- 0.030
0.194		0.461 +- 0.073 		0.335 +- 0.030
0.195		0.462 +- 0.073 		0.335 +- 0.030
0.196		0.462 +- 0.073 		0.335 +- 0.030
0.197		0.462 +- 0.073 		0.335 +- 0.030
0.198		0.462 +- 0.073 		0.335 +- 0.030
0.199		0.462 +- 0.073 		0.335 +- 0.030
0.200		0.462 +- 0.073 		0.336 +- 0.030
0.201		0.462 +- 0.073 		0.336 +- 0.030
0.202		0.463 +- 0.073 		0.336 +- 0.030
0.203		0.463 +- 0.073 		0.336 +- 0.030
0.204		0.463 +- 0.073 		0.336 +- 0.030
0.205		0.463 +- 0.073 		0.336 +- 0.030
0.206		0.463 +- 0.073 		0.336 +- 0.030
0.207		0.463 +- 0.073 		0.336 +- 0.030
0.208		0.463 +- 0.073 		0.336 +- 0.030
0.209		0.464 +- 0.073 		0.336 +- 0.030
0.210		0.464 +- 0.073 		0.336 +- 0.030
0.211		0.464 +- 0.073 		0.336 +- 0.030
0.212		0.464 +- 0.073 		0.336 +- 0.030
0.213		0.464 +- 0.073 		0.336 +- 0.030
