0   2	|	8	0	0	0	4	0.67
0   3	|	1	0	0	1	1	0.33
0   4	|	2	2	0	0	2	0.50
0   5	|	2	1	0	0	1	0.67
0   7	|	0	0	0	0	1	0.00
0   8	|	0	0	0	0	1	0.00
0   9	|	0	0	0	2	5	0.00
0   10	|	4	1	0	0	0	1.00
0   12	|	0	0	0	0	1	0.00
0   13	|	2	1	0	0	1	0.67
0   15	|	1	1	0	0	4	0.20
0   22	|	0	0	0	0	6	0.00
0   23	|	0	0	0	0	2	0.00
0   32	|	0	0	0	0	1	0.00
0   33	|	0	0	0	0	1	0.00
0   34	|	1	0	0	0	3	0.25
0   35	|	0	1	0	0	0	 - 
0   36	|	0	0	0	0	1	0.00
0   37	|	1	0	0	0	2	0.33
0   40	|	0	0	0	0	2	0.00
0   41	|	1	1	0	1	7	0.11
0   43	|	0	0	0	1	0	0.00
0   52	|	1	0	0	0	1	0.50
0   53	|	0	0	0	1	1	0.00

1   1	|	1	0	0	0	1	0.50
1   2	|	5	2	0	0	6	0.45
1   3	|	2	3	0	0	0	1.00
1   4	|	5	2	0	0	3	0.63
1   5	|	4	0	0	0	1	0.80
1   7	|	1	0	0	0	0	1.00
1   8	|	1	0	0	0	0	1.00
1   9	|	3	0	0	1	4	0.38
1   10	|	3	1	0	0	2	0.60
1   12	|	0	0	0	0	4	0.00
1   13	|	6	3	0	1	11	0.33
1   15	|	2	0	0	1	2	0.40
1   22	|	1	0	0	0	2	0.33
1   23	|	2	0	0	0	1	0.67
1   28	|	1	0	0	0	1	0.50
1   29	|	0	0	0	1	0	0.00
1   30	|	0	0	0	0	1	0.00
1   32	|	1	0	0	0	0	1.00
1   33	|	1	0	0	0	1	0.50
1   34	|	1	0	0	0	0	1.00
1   35	|	1	2	0	0	4	0.20
1   36	|	0	1	0	1	4	0.00
1   37	|	6	0	0	1	1	0.75
1   40	|	3	2	0	1	5	0.33
1   41	|	3	1	0	0	12	0.20
1   43	|	0	0	0	0	1	0.00
1   52	|	0	0	0	0	3	0.00

10   1	|	31	13	0	0	12	0.72
10   2	|	3	1	0	0	0	1.00
10   3	|	39	24	0	0	21	0.65
10   4	|	2	1	0	0	1	0.67
10   5	|	0	0	0	0	2	0.00
10   6	|	0	0	0	0	1	0.00
10   7	|	10	7	0	0	15	0.40
10   9	|	18	11	0	0	13	0.58
10   10	|	1	1	0	0	0	1.00
10   11	|	1	0	0	0	0	1.00
10   12	|	12	6	0	3	12	0.44
10   13	|	3	10	0	0	11	0.21
10   14	|	2	3	0	2	2	0.33
10   15	|	1	3	0	0	2	0.33
10   17	|	0	1	0	0	0	 - 
10   18	|	0	1	0	0	3	0.00
10   22	|	8	6	0	2	7	0.47
10   23	|	7	2	0	1	20	0.25
10   24	|	2	3	0	1	5	0.25
10   28	|	0	0	0	0	2	0.00
10   30	|	0	0	0	1	2	0.00
10   32	|	4	4	0	0	3	0.57
10   33	|	2	0	0	0	0	1.00
10   34	|	16	15	0	2	16	0.47
10   35	|	0	3	0	0	2	0.00
10   36	|	8	8	0	0	8	0.50
10   37	|	2	1	0	0	11	0.15
10   38	|	1	0	0	0	1	0.50
10   39	|	0	1	0	0	1	0.00
10   40	|	7	7	0	1	10	0.39
10   41	|	30	15	0	3	47	0.38
10   42	|	5	5	0	2	9	0.31
10   43	|	1	1	0	0	4	0.20
10   44	|	1	0	0	0	0	1.00
10   48	|	5	1	0	0	12	0.29
10   50	|	0	0	0	0	2	0.00
10   52	|	2	0	0	2	9	0.15
10   53	|	4	3	0	2	19	0.16

11   1	|	50	27	0	0	32	0.61
11   2	|	4	3	0	0	4	0.50
11   3	|	86	46	0	1	62	0.58
11   4	|	1	3	0	0	2	0.33
11   5	|	3	0	0	0	1	0.75
11   6	|	4	0	0	0	0	1.00
11   7	|	38	19	0	0	35	0.52
11   8	|	1	1	0	0	2	0.33
11   9	|	22	17	0	3	23	0.46
11   10	|	2	0	0	0	1	0.67
11   11	|	3	0	0	0	1	0.75
11   12	|	26	13	0	1	45	0.36
11   13	|	6	4	0	3	30	0.15
11   14	|	4	3	0	0	8	0.33
11   15	|	4	0	0	0	12	0.25
11   17	|	0	1	0	0	1	0.00
11   18	|	0	2	0	0	4	0.00
11   22	|	15	4	0	1	72	0.17
11   23	|	7	8	0	4	93	0.07
11   24	|	10	5	0	6	35	0.20
11   28	|	1	0	0	1	1	0.33
11   29	|	0	1	0	0	1	0.00
11   30	|	0	0	0	0	4	0.00
11   32	|	11	8	0	0	9	0.55
11   34	|	19	18	0	2	34	0.35
11   35	|	4	2	0	0	9	0.31
11   36	|	17	13	0	2	36	0.31
11   37	|	6	5	0	2	16	0.25
11   38	|	4	1	0	0	4	0.50
11   39	|	1	1	0	2	2	0.20
11   40	|	18	8	0	0	43	0.30
11   41	|	76	43	0	3	129	0.37
11   42	|	4	17	0	4	60	0.06
11   43	|	3	5	0	1	17	0.14
11   44	|	4	1	0	0	4	0.50
11   48	|	11	5	0	5	98	0.10
11   49	|	1	0	0	1	11	0.08
11   50	|	2	1	0	1	3	0.33
11   52	|	0	0	0	2	25	0.00
11   53	|	10	0	0	2	83	0.11

12   1	|	34	28	0	0	19	0.64
12   2	|	2	2	0	0	0	1.00
12   3	|	78	35	0	2	35	0.68
12   4	|	1	1	0	0	1	0.50
12   5	|	1	1	0	0	1	0.50
12   6	|	1	0	0	0	1	0.50
12   7	|	23	15	0	2	33	0.40
12   8	|	1	2	0	0	2	0.33
12   9	|	23	18	0	0	28	0.45
12   10	|	1	0	0	0	1	0.50
12   11	|	1	0	0	0	1	0.50
12   12	|	18	9	0	0	29	0.38
12   13	|	3	4	0	2	27	0.09
12   14	|	0	1	0	0	9	0.00
12   15	|	1	0	0	0	12	0.08
12   17	|	0	0	0	0	2	0.00
12   18	|	1	0	0	1	6	0.13
12   22	|	2	5	0	0	49	0.04
12   23	|	5	1	0	6	88	0.05
12   24	|	5	7	0	3	30	0.13
12   28	|	0	0	0	0	4	0.00
12   29	|	0	1	0	0	0	 - 
