
tanB/mH		     R(D)		     R(D*)
0.516		0.632 +- 0.073 		0.236 +- 0.001
0.517		0.638 +- 0.074 		0.236 +- 0.001
0.518		0.644 +- 0.075 		0.237 +- 0.001
0.519		0.650 +- 0.076 		0.237 +- 0.001
0.520		0.656 +- 0.077 		0.237 +- 0.001
0.521		0.662 +- 0.077 		0.237 +- 0.001
0.522		0.668 +- 0.078 		0.237 +- 0.001
0.523		0.675 +- 0.079 		0.237 +- 0.001
0.524		0.681 +- 0.080 		0.237 +- 0.001
0.525		0.687 +- 0.081 		0.237 +- 0.001
0.526		0.694 +- 0.081 		0.238 +- 0.001
0.527		0.700 +- 0.082 		0.238 +- 0.001
0.528		0.707 +- 0.083 		0.238 +- 0.001
0.529		0.713 +- 0.084 		0.238 +- 0.001
0.530		0.720 +- 0.085 		0.238 +- 0.002
0.531		0.726 +- 0.086 		0.238 +- 0.002
0.532		0.733 +- 0.086 		0.238 +- 0.002
0.533		0.740 +- 0.087 		0.239 +- 0.002
0.534		0.747 +- 0.088 		0.239 +- 0.002
0.535		0.754 +- 0.089 		0.239 +- 0.002
0.536		0.761 +- 0.090 		0.239 +- 0.002
0.537		0.767 +- 0.091 		0.239 +- 0.002
0.538		0.774 +- 0.092 		0.239 +- 0.002
0.539		0.782 +- 0.093 		0.239 +- 0.002
0.540		0.789 +- 0.094 		0.240 +- 0.002
0.541		0.796 +- 0.094 		0.240 +- 0.002
0.542		0.803 +- 0.095 		0.240 +- 0.002
0.543		0.810 +- 0.096 		0.240 +- 0.002
0.544		0.818 +- 0.097 		0.240 +- 0.002
0.545		0.825 +- 0.098 		0.240 +- 0.002
0.546		0.833 +- 0.099 		0.241 +- 0.002
0.547		0.840 +- 0.100 		0.241 +- 0.002
0.548		0.848 +- 0.101 		0.241 +- 0.002
0.549		0.855 +- 0.102 		0.241 +- 0.002
0.550		0.863 +- 0.103 		0.241 +- 0.002
0.551		0.871 +- 0.104 		0.241 +- 0.002
0.552		0.878 +- 0.105 		0.242 +- 0.002
0.553		0.886 +- 0.106 		0.242 +- 0.002
0.554		0.894 +- 0.107 		0.242 +- 0.002
0.555		0.902 +- 0.108 		0.242 +- 0.002
0.556		0.910 +- 0.109 		0.242 +- 0.002
0.557		0.918 +- 0.110 		0.243 +- 0.002
0.558		0.926 +- 0.111 		0.243 +- 0.002
0.559		0.934 +- 0.112 		0.243 +- 0.002
0.560		0.942 +- 0.113 		0.243 +- 0.002
0.561		0.951 +- 0.114 		0.243 +- 0.002
0.562		0.959 +- 0.115 		0.244 +- 0.002
0.563		0.967 +- 0.116 		0.244 +- 0.002
0.564		0.976 +- 0.117 		0.244 +- 0.002
0.565		0.984 +- 0.118 		0.244 +- 0.002
0.566		0.993 +- 0.120 		0.244 +- 0.002
0.567		1.002 +- 0.121 		0.245 +- 0.002
0.568		1.010 +- 0.122 		0.245 +- 0.002
0.569		1.019 +- 0.123 		0.245 +- 0.002
0.570		1.028 +- 0.124 		0.245 +- 0.002
0.571		1.037 +- 0.125 		0.245 +- 0.002
0.572		1.046 +- 0.126 		0.246 +- 0.003
0.573		1.055 +- 0.127 		0.246 +- 0.003
0.574		1.064 +- 0.128 		0.246 +- 0.003
0.575		1.073 +- 0.130 		0.246 +- 0.003
0.576		1.082 +- 0.131 		0.247 +- 0.003
0.577		1.091 +- 0.132 		0.247 +- 0.003
0.578		1.100 +- 0.133 		0.247 +- 0.003
0.579		1.110 +- 0.134 		0.247 +- 0.003
0.580		1.119 +- 0.135 		0.247 +- 0.003
0.581		1.129 +- 0.137 		0.248 +- 0.003
0.582		1.138 +- 0.138 		0.248 +- 0.003
0.583		1.148 +- 0.139 		0.248 +- 0.003
0.584		1.157 +- 0.140 		0.248 +- 0.003
0.585		1.167 +- 0.141 		0.249 +- 0.003
0.586		1.177 +- 0.143 		0.249 +- 0.003
0.587		1.187 +- 0.144 		0.249 +- 0.003
0.588		1.197 +- 0.145 		0.249 +- 0.003
0.589		1.207 +- 0.146 		0.250 +- 0.003
0.590		1.217 +- 0.148 		0.250 +- 0.003
0.591		1.227 +- 0.149 		0.250 +- 0.003
0.592		1.237 +- 0.150 		0.250 +- 0.003
0.593		1.247 +- 0.151 		0.251 +- 0.003
0.594		1.257 +- 0.153 		0.251 +- 0.003
0.595		1.268 +- 0.154 		0.251 +- 0.003
0.596		1.278 +- 0.155 		0.251 +- 0.003
0.597		1.289 +- 0.157 		0.252 +- 0.003
0.598		1.299 +- 0.158 		0.252 +- 0.003
0.599		1.310 +- 0.159 		0.252 +- 0.003
0.600		1.321 +- 0.161 		0.253 +- 0.003
0.601		1.331 +- 0.162 		0.253 +- 0.003
0.602		1.342 +- 0.163 		0.253 +- 0.004
0.603		1.353 +- 0.165 		0.253 +- 0.004
0.604		1.364 +- 0.166 		0.254 +- 0.004
0.605		1.375 +- 0.167 		0.254 +- 0.004
0.606		1.386 +- 0.169 		0.254 +- 0.004
0.607		1.397 +- 0.170 		0.255 +- 0.004
0.608		1.408 +- 0.172 		0.255 +- 0.004
0.609		1.420 +- 0.173 		0.255 +- 0.004
0.610		1.431 +- 0.174 		0.255 +- 0.004
0.611		1.443 +- 0.176 		0.256 +- 0.004
0.612		1.454 +- 0.177 		0.256 +- 0.004
0.613		1.466 +- 0.179 		0.256 +- 0.004
0.614		1.477 +- 0.180 		0.257 +- 0.004
0.615		1.489 +- 0.182 		0.257 +- 0.004
0.616		1.501 +- 0.183 		0.257 +- 0.004
0.617		1.513 +- 0.184 		0.258 +- 0.004
0.618		1.525 +- 0.186 		0.258 +- 0.004
0.619		1.537 +- 0.187 		0.258 +- 0.004
0.620		1.549 +- 0.189 		0.259 +- 0.004
0.621		1.561 +- 0.190 		0.259 +- 0.004
0.622		1.573 +- 0.192 		0.259 +- 0.004
0.623		1.585 +- 0.193 		0.260 +- 0.004
0.624		1.598 +- 0.195 		0.260 +- 0.004
0.625		1.610 +- 0.196 		0.260 +- 0.005
0.626		1.623 +- 0.198 		0.261 +- 0.005
0.627		1.635 +- 0.200 		0.261 +- 0.005
0.628		1.648 +- 0.201 		0.261 +- 0.005
0.629		1.660 +- 0.203 		0.262 +- 0.005
0.630		1.673 +- 0.204 		0.262 +- 0.005
0.631		1.686 +- 0.206 		0.262 +- 0.005
0.632		1.699 +- 0.207 		0.263 +- 0.005
0.633		1.712 +- 0.209 		0.263 +- 0.005
0.634		1.725 +- 0.211 		0.263 +- 0.005
0.635		1.738 +- 0.212 		0.264 +- 0.005
0.636		1.752 +- 0.214 		0.264 +- 0.005
0.637		1.765 +- 0.216 		0.265 +- 0.005
0.638		1.778 +- 0.217 		0.265 +- 0.005
0.639		1.792 +- 0.219 		0.265 +- 0.005
0.640		1.805 +- 0.221 		0.266 +- 0.005
0.641		1.819 +- 0.222 		0.266 +- 0.005
0.642		1.833 +- 0.224 		0.266 +- 0.005
0.643		1.846 +- 0.226 		0.267 +- 0.005
0.644		1.860 +- 0.227 		0.267 +- 0.005
0.645		1.874 +- 0.229 		0.268 +- 0.006
0.646		1.888 +- 0.231 		0.268 +- 0.006
0.647		1.902 +- 0.233 		0.268 +- 0.006
0.648		1.916 +- 0.234 		0.269 +- 0.006
0.649		1.931 +- 0.236 		0.269 +- 0.006
0.650		1.945 +- 0.238 		0.270 +- 0.006
0.651		1.959 +- 0.240 		0.270 +- 0.006
0.652		1.974 +- 0.241 		0.270 +- 0.006
0.653		1.988 +- 0.243 		0.271 +- 0.006
0.654		2.003 +- 0.245 		0.271 +- 0.006
0.655		2.018 +- 0.247 		0.272 +- 0.006
0.656		2.033 +- 0.249 		0.272 +- 0.006
0.657		2.047 +- 0.250 		0.273 +- 0.006
0.658		2.062 +- 0.252 		0.273 +- 0.006
0.659		2.078 +- 0.254 		0.273 +- 0.006
0.660		2.093 +- 0.256 		0.274 +- 0.006
0.661		2.108 +- 0.258 		0.274 +- 0.006
0.662		2.123 +- 0.260 		0.275 +- 0.006
0.663		2.139 +- 0.262 		0.275 +- 0.007
0.664		2.154 +- 0.263 		0.276 +- 0.007
0.665		2.170 +- 0.265 		0.276 +- 0.007
0.666		2.185 +- 0.267 		0.277 +- 0.007
0.667		2.201 +- 0.269 		0.277 +- 0.007
0.668		2.217 +- 0.271 		0.277 +- 0.007
0.669		2.233 +- 0.273 		0.278 +- 0.007
0.670		2.248 +- 0.275 		0.278 +- 0.007
0.671		2.265 +- 0.277 		0.279 +- 0.007
0.672		2.281 +- 0.279 		0.279 +- 0.007
0.673		2.297 +- 0.281 		0.280 +- 0.007
0.674		2.313 +- 0.283 		0.280 +- 0.007
0.675		2.330 +- 0.285 		0.281 +- 0.007
0.676		2.346 +- 0.287 		0.281 +- 0.007
0.677		2.363 +- 0.289 		0.282 +- 0.007
0.678		2.379 +- 0.291 		0.282 +- 0.007
0.679		2.396 +- 0.293 		0.283 +- 0.008
0.680		2.413 +- 0.295 		0.283 +- 0.008
0.681		2.430 +- 0.297 		0.284 +- 0.008
0.682		2.447 +- 0.299 		0.284 +- 0.008
0.683		2.464 +- 0.301 		0.285 +- 0.008
0.684		2.481 +- 0.303 		0.285 +- 0.008
0.685		2.498 +- 0.306 		0.286 +- 0.008
0.686		2.516 +- 0.308 		0.286 +- 0.008
0.687		2.533 +- 0.310 		0.287 +- 0.008
0.688		2.550 +- 0.312 		0.287 +- 0.008
0.689		2.568 +- 0.314 		0.288 +- 0.008
0.690		2.586 +- 0.316 		0.288 +- 0.008
0.691		2.604 +- 0.318 		0.289 +- 0.008
0.692		2.621 +- 0.321 		0.289 +- 0.008
0.693		2.639 +- 0.323 		0.290 +- 0.009
0.694		2.658 +- 0.325 		0.290 +- 0.009
0.695		2.676 +- 0.327 		0.291 +- 0.009
0.696		2.694 +- 0.329 		0.291 +- 0.009
0.697		2.712 +- 0.332 		0.292 +- 0.009
0.698		2.731 +- 0.334 		0.293 +- 0.009
0.699		2.749 +- 0.336 		0.293 +- 0.009
0.700		2.768 +- 0.338 		0.294 +- 0.009
0.701		2.787 +- 0.341 		0.294 +- 0.009
0.702		2.805 +- 0.343 		0.295 +- 0.009
0.703		2.824 +- 0.345 		0.295 +- 0.009
0.704		2.843 +- 0.348 		0.296 +- 0.009
0.705		2.862 +- 0.350 		0.297 +- 0.009
0.706		2.882 +- 0.352 		0.297 +- 0.010
0.707		2.901 +- 0.355 		0.298 +- 0.010
0.708		2.920 +- 0.357 		0.298 +- 0.010
0.709		2.940 +- 0.359 		0.299 +- 0.010
0.710		2.959 +- 0.362 		0.299 +- 0.010
0.711		2.979 +- 0.364 		0.300 +- 0.010
0.712		2.999 +- 0.366 		0.301 +- 0.010
0.713		3.018 +- 0.369 		0.301 +- 0.010
0.714		3.038 +- 0.371 		0.302 +- 0.010
0.715		3.058 +- 0.374 		0.302 +- 0.010
0.716		3.079 +- 0.376 		0.303 +- 0.010
0.717		3.099 +- 0.379 		0.304 +- 0.010
0.718		3.119 +- 0.381 		0.304 +- 0.010
0.719		3.140 +- 0.384 		0.305 +- 0.011
0.720		3.160 +- 0.386 		0.306 +- 0.011
0.721		3.181 +- 0.389 		0.306 +- 0.011
0.722		3.201 +- 0.391 		0.307 +- 0.011
0.723		3.222 +- 0.394 		0.307 +- 0.011
0.724		3.243 +- 0.396 		0.308 +- 0.011
0.725		3.264 +- 0.399 		0.309 +- 0.011
0.726		3.285 +- 0.401 		0.309 +- 0.011
0.727		3.307 +- 0.404 		0.310 +- 0.011
0.728		3.328 +- 0.406 		0.311 +- 0.011
0.729		3.349 +- 0.409 		0.311 +- 0.011
0.730		3.371 +- 0.412 		0.312 +- 0.012
0.731		3.393 +- 0.414 		0.313 +- 0.012
0.732		3.414 +- 0.417 		0.313 +- 0.012
0.733		3.436 +- 0.420 		0.314 +- 0.012
0.734		3.458 +- 0.422 		0.315 +- 0.012
0.735		3.480 +- 0.425 		0.315 +- 0.012
0.736		3.502 +- 0.428 		0.316 +- 0.012
0.737		3.525 +- 0.430 		0.317 +- 0.012
0.738		3.547 +- 0.433 		0.317 +- 0.012
0.739		3.569 +- 0.436 		0.318 +- 0.012
0.740		3.592 +- 0.438 		0.319 +- 0.012
0.741		3.615 +- 0.441 		0.320 +- 0.013
0.742		3.637 +- 0.444 		0.320 +- 0.013
0.743		3.660 +- 0.447 		0.321 +- 0.013
0.744		3.683 +- 0.449 		0.322 +- 0.013
0.745		3.706 +- 0.452 		0.322 +- 0.013
0.746		3.729 +- 0.455 		0.323 +- 0.013
0.747		3.753 +- 0.458 		0.324 +- 0.013
0.748		3.776 +- 0.461 		0.325 +- 0.013
0.749		3.800 +- 0.464 		0.325 +- 0.013
0.750		3.823 +- 0.466 		0.326 +- 0.013
0.751		3.847 +- 0.469 		0.327 +- 0.014
0.752		3.871 +- 0.472 		0.328 +- 0.014
0.753		3.895 +- 0.475 		0.328 +- 0.014
0.754		3.919 +- 0.478 		0.329 +- 0.014
0.755		3.943 +- 0.481 		0.330 +- 0.014
0.756		3.967 +- 0.484 		0.331 +- 0.014
0.757		3.992 +- 0.487 		0.331 +- 0.014
0.758		4.016 +- 0.490 		0.332 +- 0.014
0.759		4.041 +- 0.493 		0.333 +- 0.014
0.760		4.066 +- 0.496 		0.334 +- 0.014
0.761		4.090 +- 0.499 		0.334 +- 0.015
0.762		4.115 +- 0.502 		0.335 +- 0.015
0.763		4.140 +- 0.505 		0.336 +- 0.015
0.764		4.166 +- 0.508 		0.337 +- 0.015
0.765		4.191 +- 0.511 		0.338 +- 0.015
0.766		4.216 +- 0.514 		0.338 +- 0.015
0.767		4.242 +- 0.517 		0.339 +- 0.015
0.768		4.267 +- 0.520 		0.340 +- 0.015
0.769		4.293 +- 0.523 		0.341 +- 0.015
0.770		4.319 +- 0.526 		0.342 +- 0.016
0.771		4.345 +- 0.529 		0.343 +- 0.016
0.772		4.371 +- 0.532 		0.343 +- 0.016
0.773		4.397 +- 0.536 		0.344 +- 0.016
0.774		4.423 +- 0.539 		0.345 +- 0.016
0.775		4.450 +- 0.542 		0.346 +- 0.016
0.776		4.476 +- 0.545 		0.347 +- 0.016
0.777		4.503 +- 0.548 		0.348 +- 0.016
0.778		4.530 +- 0.552 		0.348 +- 0.016
0.779		4.557 +- 0.555 		0.349 +- 0.017
0.780		4.584 +- 0.558 		0.350 +- 0.017
0.781		4.611 +- 0.561 		0.351 +- 0.017
0.782		4.638 +- 0.565 		0.352 +- 0.017
0.783		4.665 +- 0.568 		0.353 +- 0.017
0.784		4.693 +- 0.571 		0.354 +- 0.017
0.785		4.720 +- 0.574 		0.354 +- 0.017
0.786		4.748 +- 0.578 		0.355 +- 0.017
0.787		4.776 +- 0.581 		0.356 +- 0.017
0.788		4.804 +- 0.585 		0.357 +- 0.018
0.789		4.832 +- 0.588 		0.358 +- 0.018
0.790		4.860 +- 0.591 		0.359 +- 0.018
0.791		4.888 +- 0.595 		0.360 +- 0.018
0.792		4.917 +- 0.598 		0.361 +- 0.018
0.793		4.945 +- 0.602 		0.362 +- 0.018
0.794		4.974 +- 0.605 		0.363 +- 0.018
0.795		5.003 +- 0.608 		0.363 +- 0.018
0.796		5.031 +- 0.612 		0.364 +- 0.019
0.797		5.061 +- 0.615 		0.365 +- 0.019
0.798		5.090 +- 0.619 		0.366 +- 0.019
0.799		5.119 +- 0.622 		0.367 +- 0.019
0.800		5.148 +- 0.626 		0.368 +- 0.019
0.801		5.178 +- 0.629 		0.369 +- 0.019
0.802		5.207 +- 0.633 		0.370 +- 0.019
0.803		5.237 +- 0.637 		0.371 +- 0.019
0.804		5.267 +- 0.640 		0.372 +- 0.020
0.805		5.297 +- 0.644 		0.373 +- 0.020
0.806		5.327 +- 0.647 		0.374 +- 0.020
0.807		5.358 +- 0.651 		0.375 +- 0.020
0.808		5.388 +- 0.655 		0.376 +- 0.020
0.809		5.418 +- 0.658 		0.377 +- 0.020
0.810		5.449 +- 0.662 		0.378 +- 0.020
0.811		5.480 +- 0.666 		0.379 +- 0.021
0.812		5.511 +- 0.669 		0.380 +- 0.021
0.813		5.542 +- 0.673 		0.381 +- 0.021
0.814		5.573 +- 0.677 		0.382 +- 0.021
0.815		5.604 +- 0.681 		0.383 +- 0.021
0.816		5.636 +- 0.684 		0.384 +- 0.021
0.817		5.667 +- 0.688 		0.385 +- 0.021
0.818		5.699 +- 0.692 		0.386 +- 0.021
0.819		5.731 +- 0.696 		0.387 +- 0.022
0.820		5.762 +- 0.700 		0.388 +- 0.022
0.821		5.795 +- 0.704 		0.389 +- 0.022
0.822		5.827 +- 0.707 		0.390 +- 0.022
0.823		5.859 +- 0.711 		0.391 +- 0.022
0.824		5.891 +- 0.715 		0.392 +- 0.022
0.825		5.924 +- 0.719 		0.393 +- 0.022
0.826		5.957 +- 0.723 		0.394 +- 0.023
0.827		5.990 +- 0.727 		0.395 +- 0.023
0.828		6.023 +- 0.731 		0.397 +- 0.023
0.829		6.056 +- 0.735 		0.398 +- 0.023
0.830		6.089 +- 0.739 		0.399 +- 0.023
0.831		6.122 +- 0.743 		0.400 +- 0.023
0.832		6.156 +- 0.747 		0.401 +- 0.024
0.833		6.189 +- 0.751 		0.402 +- 0.024
0.834		6.223 +- 0.755 		0.403 +- 0.024
0.835		6.257 +- 0.759 		0.404 +- 0.024
0.836		6.291 +- 0.763 		0.405 +- 0.024
0.837		6.325 +- 0.767 		0.406 +- 0.024
0.838		6.360 +- 0.771 		0.408 +- 0.024
0.839		6.394 +- 0.775 		0.409 +- 0.025
0.840		6.429 +- 0.779 		0.410 +- 0.025
0.841		6.463 +- 0.784 		0.411 +- 0.025
0.842		6.498 +- 0.788 		0.412 +- 0.025
0.843		6.533 +- 0.792 		0.413 +- 0.025
0.844		6.568 +- 0.796 		0.414 +- 0.025
0.845		6.604 +- 0.800 		0.416 +- 0.025
0.846		6.639 +- 0.805 		0.417 +- 0.026
0.847		6.675 +- 0.809 		0.418 +- 0.026
0.848		6.710 +- 0.813 		0.419 +- 0.026
0.849		6.746 +- 0.817 		0.420 +- 0.026
0.850		6.782 +- 0.822 		0.421 +- 0.026
0.851		6.818 +- 0.826 		0.423 +- 0.026
0.852		6.854 +- 0.830 		0.424 +- 0.027
0.853		6.891 +- 0.835 		0.425 +- 0.027
0.854		6.927 +- 0.839 		0.426 +- 0.027
0.855		6.964 +- 0.843 		0.427 +- 0.027
0.856		7.001 +- 0.848 		0.429 +- 0.027
0.857		7.038 +- 0.852 		0.430 +- 0.027
0.858		7.075 +- 0.857 		0.431 +- 0.028
0.859		7.112 +- 0.861 		0.432 +- 0.028
0.860		7.150 +- 0.866 		0.434 +- 0.028
0.861		7.187 +- 0.870 		0.435 +- 0.028
0.862		7.225 +- 0.875 		0.436 +- 0.028
0.863		7.263 +- 0.879 		0.437 +- 0.028
0.864		7.301 +- 0.884 		0.439 +- 0.029
0.865		7.339 +- 0.888 		0.440 +- 0.029
0.866		7.377 +- 0.893 		0.441 +- 0.029
0.867		7.415 +- 0.897 		0.442 +- 0.029
0.868		7.454 +- 0.902 		0.444 +- 0.029
0.869		7.493 +- 0.907 		0.445 +- 0.029
0.870		7.531 +- 0.911 		0.446 +- 0.030
0.871		7.570 +- 0.916 		0.448 +- 0.030
0.872		7.609 +- 0.921 		0.449 +- 0.030
0.873		7.649 +- 0.925 		0.450 +- 0.030
0.874		7.688 +- 0.930 		0.451 +- 0.030
0.875		7.728 +- 0.935 		0.453 +- 0.030
0.876		7.767 +- 0.939 		0.454 +- 0.031
0.877		7.807 +- 0.944 		0.455 +- 0.031
0.878		7.847 +- 0.949 		0.457 +- 0.031
0.879		7.888 +- 0.954 		0.458 +- 0.031
0.880		7.928 +- 0.959 		0.459 +- 0.031
0.881		7.968 +- 0.963 		0.461 +- 0.032
0.882		8.009 +- 0.968 		0.462 +- 0.032
0.883		8.050 +- 0.973 		0.464 +- 0.032
0.884		8.091 +- 0.978 		0.465 +- 0.032
0.885		8.132 +- 0.983 		0.466 +- 0.032
0.886		8.173 +- 0.988 		0.468 +- 0.032
0.887		8.214 +- 0.993 		0.469 +- 0.033
0.888		8.256 +- 0.998 		0.470 +- 0.033
0.889		8.298 +- 1.003 		0.472 +- 0.033
0.890		8.339 +- 1.008 		0.473 +- 0.033
0.891		8.381 +- 1.013 		0.475 +- 0.033
0.892		8.424 +- 1.018 		0.476 +- 0.034
0.893		8.466 +- 1.023 		0.477 +- 0.034
0.894		8.508 +- 1.028 		0.479 +- 0.034
0.895		8.551 +- 1.033 		0.480 +- 0.034
0.896		8.594 +- 1.038 		0.482 +- 0.034
0.897		8.637 +- 1.043 		0.483 +- 0.035
0.898		8.680 +- 1.048 		0.485 +- 0.035
0.899		8.723 +- 1.053 		0.486 +- 0.035
0.900		8.767 +- 1.059 		0.488 +- 0.035
0.901		8.810 +- 1.064 		0.489 +- 0.035
0.902		8.854 +- 1.069 		0.490 +- 0.036
0.903		8.898 +- 1.074 		0.492 +- 0.036
0.904		8.942 +- 1.079 		0.493 +- 0.036
0.905		8.986 +- 1.085 		0.495 +- 0.036
0.906		9.030 +- 1.090 		0.496 +- 0.036
0.907		9.075 +- 1.095 		0.498 +- 0.036
0.908		9.120 +- 1.101 		0.499 +- 0.037
0.909		9.164 +- 1.106 		0.501 +- 0.037
0.910		9.209 +- 1.111 		0.502 +- 0.037
0.911		9.255 +- 1.117 		0.504 +- 0.037
0.912		9.300 +- 1.122 		0.505 +- 0.038
0.913		9.345 +- 1.128 		0.507 +- 0.038
0.914		9.391 +- 1.133 		0.509 +- 0.038
0.915		9.437 +- 1.138 		0.510 +- 0.038
0.916		9.483 +- 1.144 		0.512 +- 0.038
0.917		9.529 +- 1.149 		0.513 +- 0.039
0.918		9.575 +- 1.155 		0.515 +- 0.039
0.919		9.622 +- 1.160 		0.516 +- 0.039
0.920		9.668 +- 1.166 		0.518 +- 0.039
0.921		9.715 +- 1.172 		0.520 +- 0.039
0.922		9.762 +- 1.177 		0.521 +- 0.040
0.923		9.809 +- 1.183 		0.523 +- 0.040
0.924		9.857 +- 1.188 		0.524 +- 0.040
0.925		9.904 +- 1.194 		0.526 +- 0.040
0.926		9.952 +- 1.200 		0.528 +- 0.040
0.927		9.999 +- 1.205 		0.529 +- 0.041
0.928		10.047 +- 1.211 		0.531 +- 0.041
0.929		10.096 +- 1.217 		0.532 +- 0.041
0.930		10.144 +- 1.223 		0.534 +- 0.041
0.931		10.192 +- 1.228 		0.536 +- 0.042
0.932		10.241 +- 1.234 		0.537 +- 0.042
0.933		10.290 +- 1.240 		0.539 +- 0.042
0.934		10.339 +- 1.246 		0.541 +- 0.042
0.935		10.388 +- 1.252 		0.542 +- 0.042
0.936		10.437 +- 1.257 		0.544 +- 0.043
0.937		10.487 +- 1.263 		0.546 +- 0.043
0.938		10.536 +- 1.269 		0.547 +- 0.043
0.939		10.586 +- 1.275 		0.549 +- 0.043
0.940		10.636 +- 1.281 		0.551 +- 0.044
0.941		10.687 +- 1.287 		0.552 +- 0.044
0.942		10.737 +- 1.293 		0.554 +- 0.044
0.943		10.787 +- 1.299 		0.556 +- 0.044
0.944		10.838 +- 1.305 		0.558 +- 0.044
0.945		10.889 +- 1.311 		0.559 +- 0.045
0.946		10.940 +- 1.317 		0.561 +- 0.045
0.947		10.991 +- 1.323 		0.563 +- 0.045
0.948		11.043 +- 1.329 		0.565 +- 0.045
0.949		11.094 +- 1.336 		0.566 +- 0.046
0.950		11.146 +- 1.342 		0.568 +- 0.046
0.951		11.198 +- 1.348 		0.570 +- 0.046
0.952		11.250 +- 1.354 		0.572 +- 0.046
0.953		11.302 +- 1.360 		0.573 +- 0.047
0.954		11.355 +- 1.366 		0.575 +- 0.047
0.955		11.408 +- 1.373 		0.577 +- 0.047
0.956		11.460 +- 1.379 		0.579 +- 0.047
0.957		11.513 +- 1.385 		0.581 +- 0.048
0.958		11.567 +- 1.392 		0.582 +- 0.048
0.959		11.620 +- 1.398 		0.584 +- 0.048
0.960		11.673 +- 1.404 		0.586 +- 0.048
0.961		11.727 +- 1.411 		0.588 +- 0.049
0.962		11.781 +- 1.417 		0.590 +- 0.049
0.963		11.835 +- 1.423 		0.592 +- 0.049
0.964		11.889 +- 1.430 		0.593 +- 0.049
0.965		11.944 +- 1.436 		0.595 +- 0.050
0.966		11.999 +- 1.443 		0.597 +- 0.050
0.967		12.053 +- 1.449 		0.599 +- 0.050
0.968		12.108 +- 1.456 		0.601 +- 0.050
0.969		12.164 +- 1.462 		0.603 +- 0.051
0.970		12.219 +- 1.469 		0.605 +- 0.051
0.971		12.274 +- 1.476 		0.607 +- 0.051
0.972		12.330 +- 1.482 		0.609 +- 0.051
0.973		12.386 +- 1.489 		0.610 +- 0.052
0.974		12.442 +- 1.496 		0.612 +- 0.052
0.975		12.499 +- 1.502 		0.614 +- 0.052
0.976		12.555 +- 1.509 		0.616 +- 0.052
0.977		12.612 +- 1.516 		0.618 +- 0.053
0.978		12.669 +- 1.522 		0.620 +- 0.053
0.979		12.726 +- 1.529 		0.622 +- 0.053
0.980		12.783 +- 1.536 		0.624 +- 0.053
0.981		12.840 +- 1.543 		0.626 +- 0.054
0.982		12.898 +- 1.550 		0.628 +- 0.054
0.983		12.956 +- 1.556 		0.630 +- 0.054
0.984		13.014 +- 1.563 		0.632 +- 0.054
0.985		13.072 +- 1.570 		0.634 +- 0.055
0.986		13.130 +- 1.577 		0.636 +- 0.055
0.987		13.189 +- 1.584 		0.638 +- 0.055
0.988		13.248 +- 1.591 		0.640 +- 0.055
0.989		13.306 +- 1.598 		0.642 +- 0.056
0.990		13.366 +- 1.605 		0.644 +- 0.056
0.991		13.425 +- 1.612 		0.646 +- 0.056
0.992		13.484 +- 1.619 		0.648 +- 0.057
0.993		13.544 +- 1.626 		0.650 +- 0.057
0.994		13.604 +- 1.633 		0.652 +- 0.057
0.995		13.664 +- 1.640 		0.654 +- 0.057
0.996		13.724 +- 1.648 		0.657 +- 0.058
0.997		13.785 +- 1.655 		0.659 +- 0.058
0.998		13.846 +- 1.662 		0.661 +- 0.058
0.999		13.907 +- 1.669 		0.663 +- 0.059
1.000		13.968 +- 1.676 		0.665 +- 0.059
