
tanB/mH		     R(D)		     R(D*)
0.117		0.256 +- 0.013 		0.249 +- 0.002
0.118		0.255 +- 0.013 		0.249 +- 0.002
0.119		0.255 +- 0.013 		0.249 +- 0.002
0.120		0.254 +- 0.013 		0.249 +- 0.002
0.121		0.253 +- 0.013 		0.249 +- 0.002
0.122		0.253 +- 0.013 		0.249 +- 0.002
0.123		0.252 +- 0.013 		0.249 +- 0.002
0.124		0.251 +- 0.012 		0.249 +- 0.002
0.125		0.250 +- 0.012 		0.249 +- 0.002
0.126		0.250 +- 0.012 		0.249 +- 0.002
0.127		0.249 +- 0.012 		0.248 +- 0.002
0.128		0.248 +- 0.012 		0.248 +- 0.002
0.129		0.248 +- 0.012 		0.248 +- 0.002
0.130		0.247 +- 0.012 		0.248 +- 0.002
0.131		0.246 +- 0.012 		0.248 +- 0.002
0.132		0.246 +- 0.012 		0.248 +- 0.002
0.133		0.245 +- 0.012 		0.248 +- 0.002
0.134		0.244 +- 0.012 		0.248 +- 0.002
0.135		0.244 +- 0.012 		0.248 +- 0.002
0.136		0.243 +- 0.012 		0.248 +- 0.002
0.137		0.242 +- 0.012 		0.248 +- 0.002
0.138		0.241 +- 0.012 		0.248 +- 0.002
0.139		0.241 +- 0.012 		0.248 +- 0.002
0.140		0.240 +- 0.012 		0.248 +- 0.002
0.141		0.239 +- 0.011 		0.248 +- 0.002
0.142		0.238 +- 0.011 		0.248 +- 0.002
0.143		0.238 +- 0.011 		0.248 +- 0.002
0.144		0.237 +- 0.011 		0.248 +- 0.002
0.145		0.236 +- 0.011 		0.247 +- 0.002
0.146		0.236 +- 0.011 		0.247 +- 0.002
0.147		0.235 +- 0.011 		0.247 +- 0.002
0.148		0.234 +- 0.011 		0.247 +- 0.002
0.149		0.233 +- 0.011 		0.247 +- 0.002
0.150		0.233 +- 0.011 		0.247 +- 0.002
0.151		0.232 +- 0.011 		0.247 +- 0.002
0.152		0.231 +- 0.011 		0.247 +- 0.002
0.153		0.230 +- 0.011 		0.247 +- 0.002
0.154		0.230 +- 0.011 		0.247 +- 0.002
0.155		0.229 +- 0.011 		0.247 +- 0.002
0.156		0.228 +- 0.011 		0.247 +- 0.002
0.157		0.227 +- 0.010 		0.247 +- 0.002
0.158		0.227 +- 0.010 		0.247 +- 0.002
0.159		0.226 +- 0.010 		0.247 +- 0.002
0.160		0.225 +- 0.010 		0.247 +- 0.002
0.161		0.224 +- 0.010 		0.246 +- 0.002
0.162		0.224 +- 0.010 		0.246 +- 0.002
0.163		0.223 +- 0.010 		0.246 +- 0.002
0.164		0.222 +- 0.010 		0.246 +- 0.002
0.165		0.221 +- 0.010 		0.246 +- 0.002
0.166		0.220 +- 0.010 		0.246 +- 0.002
0.167		0.220 +- 0.010 		0.246 +- 0.002
0.168		0.219 +- 0.010 		0.246 +- 0.002
0.169		0.218 +- 0.010 		0.246 +- 0.002
0.170		0.217 +- 0.010 		0.246 +- 0.002
0.171		0.217 +- 0.010 		0.246 +- 0.002
0.172		0.216 +- 0.010 		0.246 +- 0.002
0.173		0.215 +- 0.009 		0.246 +- 0.002
0.174		0.214 +- 0.009 		0.246 +- 0.002
0.175		0.214 +- 0.009 		0.246 +- 0.002
0.176		0.213 +- 0.009 		0.245 +- 0.002
0.177		0.212 +- 0.009 		0.245 +- 0.002
0.178		0.211 +- 0.009 		0.245 +- 0.002
0.179		0.210 +- 0.009 		0.245 +- 0.002
0.180		0.210 +- 0.009 		0.245 +- 0.002
0.181		0.209 +- 0.009 		0.245 +- 0.002
0.182		0.208 +- 0.009 		0.245 +- 0.002
0.183		0.207 +- 0.009 		0.245 +- 0.002
0.184		0.207 +- 0.009 		0.245 +- 0.002
0.185		0.206 +- 0.009 		0.245 +- 0.002
0.186		0.205 +- 0.009 		0.245 +- 0.002
0.187		0.204 +- 0.009 		0.245 +- 0.002
0.188		0.203 +- 0.009 		0.245 +- 0.002
0.189		0.203 +- 0.008 		0.245 +- 0.002
0.190		0.202 +- 0.008 		0.245 +- 0.002
0.191		0.201 +- 0.008 		0.244 +- 0.002
0.192		0.200 +- 0.008 		0.244 +- 0.002
0.193		0.200 +- 0.008 		0.244 +- 0.002
0.194		0.199 +- 0.008 		0.244 +- 0.002
0.195		0.198 +- 0.008 		0.244 +- 0.002
0.196		0.197 +- 0.008 		0.244 +- 0.002
0.197		0.197 +- 0.008 		0.244 +- 0.002
0.198		0.196 +- 0.008 		0.244 +- 0.002
0.199		0.195 +- 0.008 		0.244 +- 0.002
0.200		0.194 +- 0.008 		0.244 +- 0.002
0.201		0.194 +- 0.008 		0.244 +- 0.002
0.202		0.193 +- 0.008 		0.244 +- 0.002
0.203		0.192 +- 0.008 		0.244 +- 0.002
0.204		0.191 +- 0.008 		0.244 +- 0.002
0.205		0.191 +- 0.008 		0.243 +- 0.002
0.206		0.190 +- 0.007 		0.243 +- 0.002
0.207		0.189 +- 0.007 		0.243 +- 0.002
0.208		0.188 +- 0.007 		0.243 +- 0.002
0.209		0.188 +- 0.007 		0.243 +- 0.002
0.210		0.187 +- 0.007 		0.243 +- 0.002
0.211		0.186 +- 0.007 		0.243 +- 0.002
0.212		0.185 +- 0.007 		0.243 +- 0.002
0.213		0.185 +- 0.007 		0.243 +- 0.002
0.214		0.184 +- 0.007 		0.243 +- 0.002
0.215		0.183 +- 0.007 		0.243 +- 0.002
0.216		0.182 +- 0.007 		0.243 +- 0.002
0.217		0.182 +- 0.007 		0.243 +- 0.002
0.218		0.181 +- 0.007 		0.243 +- 0.002
0.219		0.180 +- 0.007 		0.242 +- 0.002
0.220		0.180 +- 0.007 		0.242 +- 0.002
0.221		0.179 +- 0.007 		0.242 +- 0.002
0.222		0.178 +- 0.007 		0.242 +- 0.002
0.223		0.177 +- 0.007 		0.242 +- 0.002
0.224		0.177 +- 0.006 		0.242 +- 0.002
0.225		0.176 +- 0.006 		0.242 +- 0.002
0.226		0.175 +- 0.006 		0.242 +- 0.002
0.227		0.175 +- 0.006 		0.242 +- 0.002
0.228		0.174 +- 0.006 		0.242 +- 0.002
0.229		0.173 +- 0.006 		0.242 +- 0.002
0.230		0.173 +- 0.006 		0.242 +- 0.002
0.231		0.172 +- 0.006 		0.242 +- 0.002
0.232		0.171 +- 0.006 		0.241 +- 0.002
0.233		0.171 +- 0.006 		0.241 +- 0.002
0.234		0.170 +- 0.006 		0.241 +- 0.002
0.235		0.169 +- 0.006 		0.241 +- 0.002
0.236		0.169 +- 0.006 		0.241 +- 0.002
0.237		0.168 +- 0.006 		0.241 +- 0.002
0.238		0.167 +- 0.006 		0.241 +- 0.002
0.239		0.167 +- 0.006 		0.241 +- 0.002
0.240		0.166 +- 0.006 		0.241 +- 0.002
0.241		0.166 +- 0.006 		0.241 +- 0.002
0.242		0.165 +- 0.006 		0.241 +- 0.002
0.243		0.164 +- 0.005 		0.241 +- 0.002
0.244		0.164 +- 0.005 		0.241 +- 0.002
0.245		0.163 +- 0.005 		0.241 +- 0.002
0.246		0.163 +- 0.005 		0.240 +- 0.001
0.247		0.162 +- 0.005 		0.240 +- 0.001
0.248		0.161 +- 0.005 		0.240 +- 0.001
0.249		0.161 +- 0.005 		0.240 +- 0.001
0.250		0.160 +- 0.005 		0.240 +- 0.001
0.251		0.160 +- 0.005 		0.240 +- 0.001
0.252		0.159 +- 0.005 		0.240 +- 0.001
0.253		0.159 +- 0.005 		0.240 +- 0.001
0.254		0.158 +- 0.005 		0.240 +- 0.001
0.255		0.157 +- 0.005 		0.240 +- 0.001
0.256		0.157 +- 0.005 		0.240 +- 0.001
0.257		0.156 +- 0.005 		0.240 +- 0.001
0.258		0.156 +- 0.005 		0.240 +- 0.001
0.259		0.155 +- 0.005 		0.239 +- 0.001
0.260		0.155 +- 0.005 		0.239 +- 0.001
0.261		0.154 +- 0.005 		0.239 +- 0.001
0.262		0.154 +- 0.005 		0.239 +- 0.001
0.263		0.153 +- 0.005 		0.239 +- 0.001
0.264		0.153 +- 0.005 		0.239 +- 0.001
0.265		0.152 +- 0.004 		0.239 +- 0.001
0.266		0.152 +- 0.004 		0.239 +- 0.001
0.267		0.152 +- 0.004 		0.239 +- 0.001
0.268		0.151 +- 0.004 		0.239 +- 0.001
0.269		0.151 +- 0.004 		0.239 +- 0.001
0.270		0.150 +- 0.004 		0.239 +- 0.001
0.271		0.150 +- 0.004 		0.239 +- 0.001
0.272		0.149 +- 0.004 		0.239 +- 0.001
0.273		0.149 +- 0.004 		0.238 +- 0.001
0.274		0.149 +- 0.004 		0.238 +- 0.001
0.275		0.148 +- 0.004 		0.238 +- 0.001
0.276		0.148 +- 0.004 		0.238 +- 0.001
0.277		0.148 +- 0.004 		0.238 +- 0.001
