0   1	|	0	18	3	0	5	0.00
0   2	|	7	155	16	0	16	0.18
0   3	|	1	17	6	0	6	0.08
0   4	|	4	44	7	2	6	0.21
0   5	|	0	33	3	1	5	0.00
0   6	|	0	0	0	1	0	0.00
0   7	|	0	21	5	0	15	0.00
0   8	|	0	6	1	1	7	0.00
0   9	|	1	5	6	16	11	0.03
0   10	|	1	60	8	4	9	0.05
0   12	|	0	8	5	6	9	0.00
0   13	|	1	40	13	8	31	0.02
0   14	|	0	2	0	0	2	0.00
0   15	|	0	12	4	2	7	0.00
0   17	|	0	0	1	0	1	0.00
0   18	|	0	0	0	0	1	0.00
0   22	|	0	3	3	3	11	0.00
0   23	|	0	7	0	5	10	0.00
0   24	|	0	0	0	2	3	0.00
0   28	|	0	1	0	1	3	0.00
0   29	|	0	0	1	0	1	0.00
0   30	|	0	2	0	0	4	0.00
0   32	|	0	2	2	0	2	0.00
0   33	|	0	3	2	0	2	0.00
0   34	|	0	4	1	0	6	0.00
0   35	|	0	12	1	0	3	0.00
0   36	|	0	3	5	9	3	0.00
0   37	|	1	49	5	0	9	0.07
0   38	|	0	1	0	0	0	 - 
0   39	|	0	0	1	0	1	0.00
0   40	|	0	4	10	8	21	0.00
0   41	|	0	10	6	18	37	0.00
0   42	|	0	0	0	0	1	0.00
0   43	|	0	0	0	0	1	0.00
0   44	|	0	0	1	0	0	0.00
0   52	|	0	5	0	0	4	0.00
0   53	|	0	4	0	2	3	0.00

1   1	|	4	24	5	0	6	0.27
1   2	|	3	203	30	0	21	0.06
1   3	|	1	30	4	2	12	0.05
1   4	|	2	67	14	0	8	0.08
1   5	|	1	57	6	3	9	0.05
1   6	|	0	1	0	0	1	0.00
1   7	|	2	33	9	1	26	0.05
1   8	|	0	13	1	0	8	0.00
1   9	|	0	13	7	35	25	0.00
1   10	|	6	95	11	2	16	0.17
1   12	|	0	18	5	4	22	0.00
1   13	|	1	76	18	17	38	0.01
1   14	|	0	2	0	1	4	0.00
1   15	|	1	37	7	1	17	0.04
1   16	|	0	1	0	0	1	0.00
1   17	|	0	0	1	0	0	0.00
1   18	|	0	0	0	0	2	0.00
1   22	|	0	0	4	15	23	0.00
1   23	|	1	17	5	3	23	0.03
1   24	|	0	0	0	0	3	0.00
1   28	|	0	4	2	1	3	0.00
1   29	|	0	0	1	1	0	0.00
1   30	|	0	2	0	1	2	0.00
1   32	|	0	3	1	1	2	0.00
1   33	|	0	7	1	0	4	0.00
1   34	|	1	2	5	1	13	0.05
1   35	|	0	19	4	0	8	0.00
1   36	|	0	5	2	7	11	0.00
1   37	|	3	53	9	3	16	0.10
1   38	|	0	0	0	0	1	0.00
1   39	|	0	2	0	1	2	0.00
1   40	|	1	13	17	16	30	0.02
1   41	|	0	28	13	14	61	0.00
1   43	|	0	1	1	0	1	0.00
1   44	|	0	0	0	0	1	0.00
1   52	|	0	7	2	1	4	0.00
1   53	|	0	2	0	3	7	0.00

10   1	|	25	657	87	1	81	0.13
10   2	|	2	70	4	0	8	0.14
10   3	|	46	1184	151	14	187	0.12
10   4	|	2	41	5	0	8	0.13
10   5	|	1	15	1	1	6	0.11
10   6	|	3	26	5	0	2	0.30
10   7	|	17	458	70	4	93	0.09
10   8	|	2	22	7	0	7	0.13
10   9	|	10	342	49	22	83	0.06
10   10	|	0	13	2	2	2	0.00
10   11	|	1	36	4	0	6	0.09
10   12	|	8	316	66	14	98	0.04
10   13	|	3	97	21	14	84	0.02
10   14	|	0	73	11	5	23	0.00
10   15	|	2	27	8	4	24	0.05
10   16	|	0	7	0	2	2	0.00
10   17	|	0	5	1	0	0	0.00
10   18	|	0	11	1	1	9	0.00
10   22	|	6	64	23	23	95	0.04
10   23	|	3	45	25	31	161	0.01
10   24	|	2	27	13	21	36	0.03
10   28	|	1	4	0	0	5	0.17
10   29	|	0	1	0	0	1	0.00
10   30	|	0	4	2	4	15	0.00
10   32	|	4	108	20	0	18	0.10
10   33	|	0	11	8	0	5	0.00
10   34	|	12	354	42	4	89	0.08
10   35	|	1	42	6	0	10	0.06
10   36	|	7	225	45	16	78	0.05
10   37	|	4	72	10	9	34	0.07
10   38	|	0	30	6	1	8	0.00
10   39	|	1	26	3	1	5	0.10
10   40	|	4	200	46	17	87	0.03
10   41	|	32	623	115	43	292	0.07
10   42	|	8	96	37	8	69	0.07
10   43	|	2	38	14	2	19	0.05
10   44	|	1	20	1	0	4	0.17
10   48	|	3	38	33	21	82	0.02
10   49	|	0	7	1	2	11	0.00
10   50	|	0	1	1	2	6	0.00
10   52	|	0	12	7	15	34	0.00
10   53	|	1	30	14	19	93	0.01

11   1	|	40	1197	156	0	128	0.12
11   2	|	3	97	16	1	14	0.09
11   3	|	60	2066	299	21	376	0.08
11   4	|	3	47	10	1	18	0.09
11   5	|	0	27	3	2	22	0.00
11   6	|	1	55	9	0	4	0.07
11   7	|	27	888	159	16	240	0.06
11   8	|	2	27	9	0	9	0.10
11   9	|	30	726	129	29	178	0.08
11   10	|	1	12	6	3	10	0.05
11   11	|	4	73	11	0	3	0.22
11   12	|	18	593	93	32	278	0.04
11   13	|	7	168	43	20	197	0.03
11   14	|	6	144	24	6	58	0.06
11   15	|	6	74	23	4	92	0.05
11   16	|	0	12	0	0	1	0.00
11   17	|	0	8	1	0	1	0.00
11   18	|	1	27	4	4	27	0.03
11   22	|	5	142	71	53	493	0.01
11   23	|	6	93	81	63	765	0.01
11   24	|	6	93	43	33	253	0.02
11   28	|	1	7	0	1	24	0.04
11   29	|	0	2	1	2	7	0.00
11   30	|	0	12	5	4	43	0.00
11   32	|	6	185	34	5	71	0.05
11   33	|	1	25	2	0	6	0.11
11   34	|	23	696	109	8	236	0.06
11   35	|	7	70	19	3	46	0.09
11   36	|	24	416	84	32	204	0.07
11   37	|	8	130	26	11	155	0.04
11   38	|	2	51	6	1	10	0.11
11   39	|	1	42	7	3	27	0.03
11   40	|	7	390	86	20	270	0.02
11   41	|	52	1280	288	83	781	0.04
11   42	|	13	199	69	15	400	0.03
11   43	|	5	81	18	4	70	0.05
11   44	|	1	54	13	0	24	0.03
11   48	|	7	127	70	53	742	0.01
11   49	|	0	3	7	9	103	0.00
11   50	|	0	3	7	6	41	0.00
11   52	|	0	27	20	15	221	0.00
11   53	|	2	66	58	30	507	0.00

12   1	|	29	891	114	3	120	0.11
12   2	|	1	64	5	0	7	0.08
12   3	|	69	1566	209	26	216	0.13
12   4	|	0	38	4	0	7	0.00
12   5	|	1	19	2	3	6	0.08
12   6	|	1	29	6	1	3	0.09
12   7	|	41	648	104	11	177	0.12
12   8	|	0	14	5	0	12	0.00
12   9	|	14	505	78	21	117	0.06
12   10	|	0	11	1	3	6	0.00
12   11	|	1	54	8	0	5	0.07
12   12	|	15	399	73	29	229	0.04
12   13	|	3	74	27	11	198	0.01
12   14	|	0	82	18	2	53	0.00
12   15	|	1	27	12	5	76	0.01
12   16	|	0	8	0	0	2	0.00
12   17	|	0	2	2	0	7	0.00
12   18	|	0	8	1	1	22	0.00
12   22	|	8	81	41	33	325	0.02
12   23	|	3	30	54	43	589	0.00
12   24	|	2	62	24	22	263	0.01
12   28	|	0	2	3	1	22	0.00
12   29	|	0	5	0	0	8	0.00
12   30	|	0	3	1	1	32	0.00
12   32	|	1	125	22	16	66	0.01
12   33	|	0	15	5	0	8	0.00
12   34	|	14	491	74	18	170	0.05
12   35	|	1	34	13	3	60	0.01
12   36	|	14	289	45	20	166	0.06
12   37	|	3	64	22	12	109	0.02
12   38	|	1	28	5	3	4	0.08
12   39	|	1	25	3	3	18	0.04
12   40	|	8	250	51	23	218	0.03
12   41	|	42	853	200	63	623	0.05
12   42	|	3	83	40	27	332	0.01
12   43	|	4	55	14	6	107	0.03
12   44	|	1	29	5	1	11	0.06
12   48	|	2	45	38	23	438	0.00
12   49	|	0	8	7	7	96	0.00
12   50	|	0	5	0	0	40	0.00
12   52	|	0	4	15	5	161	0.00
12   53	|	2	28	35	21	423	0.00

13   1	|	8	232	41	4	34	0.09
13   2	|	1	15	3	2	2	0.13
13   3	|	19	395	77	20	91	0.09
13   4	|	2	13	1	2	4	0.22
13   5	|	0	7	3	1	10	0.00
13   6	|	0	12	3	2	1	0.00
13   7	|	9	165	35	16	100	0.06
13   8	|	0	9	1	1	7	0.00
13   9	|	2	132	40	13	70	0.02
13   10	|	0	10	4	1	8	0.00
13   11	|	0	12	0	1	5	0.00
13   12	|	3	99	30	23	152	0.01
13   13	|	3	58	18	17	133	0.02
13   14	|	0	30	11	7	30	0.00
13   15	|	0	14	13	8	74	0.00
13   16	|	0	2	1	1	2	0.00
13   17	|	0	0	0	0	3	0.00
13   18	|	0	4	5	4	15	0.00
13   22	|	2	18	22	29	274	0.01
13   23	|	0	22	51	46	569	0.00
13   24	|	4	20	25	15	191	0.02
13   28	|	0	1	0	2	17	0.00
13   29	|	0	1	1	1	7	0.00
13   30	|	0	2	1	0	31	0.00
13   32	|	1	44	13	9	35	0.02
13   33	|	0	8	0	3	4	0.00
13   34	|	2	149	33	13	114	0.01
13   35	|	0	35	11	3	39	0.00
13   36	|	8	79	17	23	110	0.05
13   37	|	3	42	29	13	124	0.02
13   38	|	0	7	1	1	6	0.00
13   39	|	1	5	4	1	35	0.02
13   40	|	4	69	34	10	156	0.02
13   41	|	10	232	86	75	449	0.02
13   42	|	2	57	52	25	347	0.00
13   43	|	0	16	11	6	58	0.00
13   44	|	1	8	3	0	11	0.07
13   48	|	0	22	32	15	378	0.00
13   49	|	0	5	9	4	99	0.00
13   50	|	2	2	2	0	36	0.05
13   52	|	2	9	13	7	135	0.01
13   53	|	1	10	19	13	299	0.00

14   1	|	1	151	18	2	23	0.02
14   2	|	0	6	0	1	2	0.00
14   3	|	11	297	35	8	86	0.08
14   4	|	0	7	0	1	2	0.00
14   5	|	0	3	1	0	5	0.00
14   6	|	0	9	2	1	2	0.00
14   7	|	7	107	27	8	93	0.05
14   8	|	0	0	1	1	7	0.00
14   9	|	4	79	18	9	66	0.04
14   10	|	0	2	3	1	6	0.00
14   11	|	0	10	5	0	2	0.00
14   12	|	5	89	17	14	151	0.03
14   13	|	1	20	14	5	146	0.01
14   14	|	2	23	3	0	31	0.06
14   15	|	0	14	4	7	68	0.00
14   16	|	0	2	0	1	0	0.00
14   17	|	0	0	0	1	4	0.00
14   18	|	0	2	0	2	30	0.00
14   22	|	1	22	23	10	308	0.00
14   23	|	0	23	34	23	637	0.00
14   24	|	2	23	21	13	195	0.01
14   28	|	0	1	0	2	15	0.00
14   29	|	0	0	0	1	6	0.00
14   30	|	0	1	2	0	17	0.00
14   32	|	1	38	16	1	48	0.02
14   33	|	1	4	2	1	5	0.11
14   34	|	5	106	31	7	86	0.04
14   35	|	0	12	4	1	41	0.00
14   36	|	3	69	17	12	97	0.02
14   37	|	1	27	10	12	114	0.01
14   38	|	0	6	1	0	7	0.00
14   39	|	2	9	2	1	19	0.08
14   40	|	0	52	24	13	138	0.00
14   41	|	8	193	80	32	431	0.01
14   42	|	4	39	26	13	384	0.01
14   43	|	0	18	4	6	69	0.00
14   44	|	0	4	3	1	8	0.00
14   48	|	2	11	41	18	486	0.00
14   49	|	0	4	7	2	113	0.00
14   50	|	0	3	2	2	40	0.00
14   52	|	0	4	6	3	146	0.00
14   53	|	2	16	20	14	287	0.01

15   1	|	1	58	8	0	8	0.06
15   2	|	0	3	0	0	1	0.00
15   3	|	5	91	13	0	13	0.16
15   5	|	0	1	0	0	1	0.00
15   6	|	0	1	1	0	0	0.00
15   7	|	1	38	8	0	3	0.08
15   9	|	1	30	2	1	8	0.08
15   10	|	0	0	0	0	1	0.00
15   11	|	0	2	0	0	2	0.00
15   12	|	0	26	6	2	5	0.00
15   13	|	0	5	1	2	3	0.00
15   14	|	0	6	0	1	0	0.00
15   15	|	0	3	0	0	1	0.00
15   16	|	0	0	0	0	1	0.00
15   18	|	0	0	0	0	1	0.00
15   22	|	0	5	2	4	6	0.00
15   23	|	0	1	0	3	5	0.00
15   24	|	0	2	2	2	1	0.00
15   30	|	0	0	1	0	1	0.00
15   32	|	0	7	2	0	1	0.00
15   33	|	0	2	0	0	0	 - 
15   34	|	1	20	0	0	7	0.13
15   35	|	0	3	0	0	3	0.00
15   36	|	0	13	2	0	4	0.00
15   37	|	0	6	1	0	3	0.00
15   38	|	0	1	0	0	0	 - 
15   39	|	0	0	1	0	0	0.00
15   40	|	1	10	3	2	5	0.09
15   41	|	3	40	7	1	12	0.13
15   42	|	0	5	0	1	4	0.00
15   43	|	1	2	1	0	1	0.33
15   44	|	0	2	0	0	0	 - 
15   48	|	0	5	0	3	3	0.00
15   49	|	0	0	1	0	1	0.00
15   50	|	0	0	0	0	1	0.00
15   52	|	0	3	0	0	4	0.00
15   53	|	0	2	1	0	6	0.00

