Fit 10
peak	1.6	1.9352e+00 	2.4
muL	1.1	1.5350e+00 	1.8
muPeak	0.15	2.5379e-01 	0.53
muR	0	6.0838e-02 	1
nuL	7.5	1.0777e+01 	13.5
nuR	0.1	1.2419e+00 	1.7
bo1	-0.05	2.6386e-02 	0.05
bs1	-0.04	-1.2147e-02	0.04
bc1	0	0.0000e+00 	-1
sl1	0.07	1.0614e-01 	0.25
sh1	0	3.5000e-02 	-1
bo2	-0.3	-5.8268e-02	0.3
bs2	-0.2	2.9746e-01 	0.5
bc2	-0.3	-1.3097e-01	0.1
sl2	0.2	4.4805e-01 	0.6
sh2	0.01	3.8000e-02 	-0.1
fl	0.8	9.8080e-01 	1
fh	0.7	8.3234e-01 	1
bfrac	0.003	7.3971e-03 	0.06
bmean	-0.3	3.8330e-01 	0.9
bsigr	1.5	4.5343e+00 	15
bsigl	0.3	6.5000e-01 	-1.1
bpow	0.05	7.4861e-02 	2.2
bsigpow	1	2.0300e+00  	10
























