Fit 0
peak	1.7	1.98	2.2
muL	1	1.35	1.6
muPeak	0.18	0.35	0.52
muR	0	0.01	-1
nuL	3	7	11
nuR	0.8	1.5	2.2
bo1	-0.03	0.03	0.1
bs1	-0.05	-0.01	0.02
bc1	0	0	-1
sl1	0.07	0.14	0.19
sh1	0.01	0.03	0.06
bo2	-0.2	0.4	1.2
bs2	-0.8	-0.2	0.4
bc2	-0.2	0	0.2
sl2	0.3	0.6	0.9
sh2	0.01	0.03	0.1
fl	0.7	0.9	1
fh	0.7	0.9	1
bfrac	0.005	0.02	0.06
bmean	-0.4	0	0.9
bsigr	2.5	10	15
bsigl	0.3	0.6	1.1
bpow	0.05	1.1	2.2
bsigpow	1	5	10
